date,FTSE ALL SHARES
1/25/1999,2672.99
1/26/1999,2676.66
1/27/1999,2677.42
1/28/1999,2681.14
1/29/1999,2695.94
2/1/1999,2747.92
2/2/1999,2756.48
2/3/1999,2730.31
2/4/1999,2732.82
2/5/1999,2700.41
2/8/1999,2692.85
2/9/1999,2670.65
2/10/1999,2665.16
2/11/1999,2711.71
2/12/1999,2735.41
2/15/1999,2761.57
2/16/1999,2795.39
2/17/1999,2782.3
2/18/1999,2779.17
2/19/1999,2764.7
2/22/1999,2779.97
2/23/1999,2812.38
2/24/1999,2871.61
2/25/1999,2834.9
2/26/1999,2825.39
3/1/1999,2784.06
3/2/1999,2785.55
3/3/1999,2781.89
3/4/1999,2804.1
3/5/1999,2846.04
3/8/1999,2848.79
3/9/1999,2861.13
3/10/1999,2865.81
3/11/1999,2908.34
3/12/1999,2894.74
3/15/1999,2863.52
3/16/1999,2862.31
3/17/1999,2836.9
3/18/1999,2825.4
3/19/1999,2847.18
3/22/1999,2843.04
3/23/1999,2807.76
3/24/1999,2787.66
3/25/1999,2815.34
3/26/1999,2835.04
3/29/1999,2878.34
3/30/1999,2883.1
3/31/1999,2894.79
4/1/1999,2906.22
4/6/1999,2938.28
4/7/1999,2963.26
4/8/1999,2951.84
4/9/1999,2968.79
4/12/1999,2956.36
4/13/1999,2986.26
4/14/1999,2983.33
4/15/1999,2978.78
4/16/1999,2969.7
4/19/1999,3010.25
4/20/1999,2929.26
4/21/1999,2927.43
4/22/1999,2969.08
4/23/1999,2974.63
4/26/1999,3003.72
4/27/1999,3039.21
4/28/1999,3041.84
4/29/1999,3004.86
4/30/1999,3028.4
5/4/1999,3024.93
5/5/1999,2972.09
5/6/1999,2976.62
5/7/1999,2956.66
5/10/1999,2952.82
5/11/1999,2964.5
5/12/1999,2947.88
5/13/1999,2991.25
5/14/1999,2928.63
5/17/1999,2872.67
5/18/1999,2887.91
5/19/1999,2911.37
5/20/1999,2950.64
5/21/1999,2944.1
5/24/1999,2932.12
5/25/1999,2899.95
5/26/1999,2894.77
5/27/1999,2882.07
5/28/1999,2889.65
6/1/1999,2900.86
6/2/1999,2923.38
6/3/1999,2941.75
6/4/1999,2948.65
6/7/1999,2970.49
6/8/1999,2979.04
6/9/1999,2988.03
6/10/1999,2970.78
6/11/1999,3003.11
6/14/1999,2982.73
6/15/1999,2991.51
6/16/1999,3015.45
6/17/1999,3014.01
6/18/1999,3028.03
6/21/1999,3051.04
6/22/1999,3038.79
6/23/1999,3016.54
6/24/1999,2985.49
6/25/1999,2990.6
6/28/1999,2979.78
6/29/1999,2941.39
6/30/1999,2946.17
7/1/1999,3013.85
7/2/1999,3018.46
7/5/1999,3059.78
7/6/1999,3073.5
7/7/1999,3068.91
7/8/1999,3055.16
7/9/1999,3057.96
7/12/1999,3053.01
7/13/1999,3012.34
7/14/1999,3024.08
7/15/1999,3063.66
7/16/1999,3059.81
7/19/1999,3030.3
7/20/1999,2994.4
7/21/1999,2967.7
7/22/1999,2954.51
7/23/1999,2919.42
7/26/1999,2900.9
7/27/1999,2936.2
7/28/1999,2950.29
7/29/1999,2880.31
7/30/1999,2925.14
8/2/1999,2946.58
8/3/1999,2934.05
8/4/1999,2930.39
8/5/1999,2876.71
8/6/1999,2883.93
8/9/1999,2885.96
8/10/1999,2826.06
8/11/1999,2839.45
8/12/1999,2894.92
8/13/1999,2931.89
8/16/1999,2930.09
8/17/1999,2904
8/18/1999,2918.47
8/19/1999,2886.03
8/20/1999,2911.27
8/23/1999,2965.51
8/24/1999,2963.25
8/25/1999,2986.36
8/26/1999,2992.59
8/27/1999,2990.34
8/31/1999,2939.11
9/1/1999,2954.09
9/2/1999,2924.15
9/3/1999,2980.15
9/6/1999,3001.11
9/7/1999,2974.98
9/8/1999,2951.47
9/9/1999,2953.09
9/10/1999,2925.21
9/13/1999,2913.14
9/14/1999,2887.99
9/15/1999,2861.2
9/16/1999,2835.73
9/17/1999,2846.58
9/20/1999,2853.08
9/21/1999,2809.65
9/22/1999,2786.68
9/23/1999,2809.03
9/24/1999,2789.94
