date,MSCI FRANCE
1/25/1999,101.82
1/26/1999,102.21
1/27/1999,102.87
1/28/1999,105.25
1/29/1999,106.31
2/1/1999,107.38
2/2/1999,106.22
2/3/1999,105.04
2/4/1999,104.53
2/5/1999,104.07
2/8/1999,104.42
2/9/1999,101.61
2/10/1999,100.49
2/11/1999,102.06
2/12/1999,101.91
2/15/1999,102.03
2/16/1999,101.85
2/17/1999,100.24
2/18/1999,101.58
2/19/1999,103.62
2/22/1999,104.51
2/23/1999,105.55
2/24/1999,105.69
2/25/1999,104.22
2/26/1999,102.69
3/1/1999,101.48
3/2/1999,102.04
3/3/1999,101.07
3/4/1999,102.93
3/5/1999,105.47
3/8/1999,105.15
3/9/1999,104.68
3/10/1999,104.79
3/11/1999,105.68
3/12/1999,105.46
3/15/1999,105.66
3/16/1999,105.8
3/17/1999,105.34
3/18/1999,104.93
3/19/1999,106.42
3/22/1999,105.93
3/23/1999,103.06
3/24/1999,102.61
3/25/1999,104.47
3/26/1999,104.05
3/29/1999,104.93
3/30/1999,104.83
3/31/1999,106.25
4/1/1999,106.99
4/2/1999,106.99
4/5/1999,106.99
4/6/1999,108.6
4/7/1999,109.02
4/8/1999,109.19
4/9/1999,109.76
4/12/1999,109.45
4/13/1999,109.79
4/14/1999,109.29
4/15/1999,108.51
4/16/1999,108.24
4/19/1999,110.01
4/20/1999,107.12
4/21/1999,108.03
4/22/1999,108
4/23/1999,107.26
4/26/1999,107.87
4/27/1999,110.54
4/28/1999,110.23
4/29/1999,110.3
4/30/1999,111.17
5/3/1999,112.25
5/4/1999,112.17
5/5/1999,110.41
5/6/1999,109.61
5/7/1999,108.63
5/10/1999,110.01
5/11/1999,109.98
5/12/1999,109.96
5/13/1999,111.23
5/14/1999,109.17
5/17/1999,107.21
5/18/1999,108.66
5/19/1999,110.49
5/20/1999,111.77
5/21/1999,111.47
5/24/1999,111.47
5/25/1999,110.65
5/26/1999,110.75
5/27/1999,109.49
5/28/1999,109.08
5/31/1999,110.06
6/1/1999,109.19
6/2/1999,109.19
6/3/1999,110.12
6/4/1999,109.8
6/7/1999,111.19
6/8/1999,111.53
6/9/1999,111.95
6/10/1999,110.87
6/11/1999,110.95
6/14/1999,110.65
6/15/1999,111.71
6/16/1999,113.14
6/17/1999,113.93
6/18/1999,114.77
6/21/1999,114.76
6/22/1999,114.22
6/23/1999,113.19
6/24/1999,112.09
6/25/1999,111.6
6/28/1999,112.67
6/29/1999,113.66
6/30/1999,114.55
7/1/1999,116.44
7/2/1999,116.49
7/5/1999,118.42
7/6/1999,118.25
7/7/1999,117.53
7/8/1999,116.75
7/9/1999,117
7/12/1999,117.2
7/13/1999,115.5
7/14/1999,115.5
7/15/1999,117.18
7/16/1999,117.07
7/19/1999,116.17
7/20/1999,114.47
7/21/1999,113.27
7/22/1999,113.01
7/23/1999,112.23
7/26/1999,111.06
7/27/1999,111.64
7/28/1999,111.58
7/29/1999,109.14
7/30/1999,110.87
8/2/1999,110.47
8/3/1999,109.87
8/4/1999,109.29
8/5/1999,107.51
8/6/1999,107.14
8/9/1999,109.06
8/10/1999,107.89
8/11/1999,108.37
8/12/1999,110.64
8/13/1999,112.4
8/16/1999,112.9
8/17/1999,113.59
8/18/1999,113.92
8/19/1999,112.26
8/20/1999,113.54
8/23/1999,113.89
8/24/1999,115.19
8/25/1999,117.34
8/26/1999,117.34
8/27/1999,117.71
8/30/1999,118.02
8/31/1999,116.33
9/1/1999,117.55
9/2/1999,115.38
9/3/1999,118.24
9/6/1999,118.24
9/7/1999,118.48
9/8/1999,118.61
9/9/1999,119.48
9/10/1999,120.19
9/13/1999,119.46
9/14/1999,119.2
9/15/1999,118.31
9/16/1999,117.76
9/17/1999,117.64
9/20/1999,118.45
9/21/1999,116.66
9/22/1999,115.63
9/23/1999,116.31
9/24/1999,115.02
9/27/1999,116.41
9/28/1999,115.43
9/29/1999,115.01
9/30/1999,116.47
10/1/1999,115.56
10/4/1999,116.83
10/5/1999,117.49
10/6/1999,118.34
10/7/1999,119.63
10/8/1999,119.06
10/11/1999,118.73
10/12/1999,117.41
10/13/1999,116.52
10/14/1999,116.31
10/15/1999,114.55
10/18/1999,114.03
10/19/1999,116.28
10/20/1999,116.13
10/21/1999,116.78
10/22/1999,118.63
10/25/1999,118.54
10/26/1999,119.76
10/27/1999,119.59
10/28/1999,121.2
10/29/1999,124.42
11/1/1999,124.42
11/2/1999,124.41
11/3/1999,125
11/4/1999,125.33
11/5/1999,126.07
11/8/1999,126.51
11/9/1999,126.45
11/10/1999,127.88
11/11/1999,130.03
11/12/1999,130.5
11/15/1999,131.29
11/16/1999,131.59
11/17/1999,131.31
11/18/1999,132.53
11/19/1999,133.11
11/22/1999,130.26
11/23/1999,130.43
11/24/1999,131.15
11/25/1999,134.87
11/26/1999,136.26
11/29/1999,135.5
11/30/1999,134.06
12/1/1999,134.97
12/2/1999,134.45
12/3/1999,137.33
12/6/1999,138.55
12/7/1999,139.43
12/8/1999,138.36
12/9/1999,139.94
12/10/1999,138.31
12/13/1999,139.42
12/14/1999,140.35
12/15/1999,139.37
12/16/1999,139.45
12/17/1999,138.37
12/20/1999,139.01
12/21/1999,139.34
12/22/1999,141.72
12/23/1999,143.94
12/24/1999,146.92
12/27/1999,146.68
12/28/1999,146.75
12/29/1999,147
12/30/1999,149.95
12/31/1999,149.95
1/3/2000,149.17
1/4/2000,142.71
1/5/2000,137.92
1/6/2000,137.17
1/7/2000,139.63
1/10/2000,142.4
1/11/2000,141.57
1/12/2000,140.58
1/13/2000,141.97
1/14/2000,145.72
1/17/2000,147.43
1/18/2000,142.95
1/19/2000,142.73
1/20/2000,144.29
1/21/2000,143.48
1/24/2000,143.5
1/25/2000,141.32
1/26/2000,142.78
1/27/2000,143.81
1/28/2000,145.08
1/31/2000,143.37
2/1/2000,146.17
2/2/2000,150.88
2/3/2000,156.24
2/4/2000,159.22
2/7/2000,157.42
2/8/2000,159.95
2/9/2000,159.62
2/10/2000,157.84
2/11/2000,160.17
2/14/2000,159.83
2/15/2000,155.33
2/16/2000,154.34
2/17/2000,157.24
2/18/2000,154.51
2/21/2000,151.79
2/22/2000,151.84
2/23/2000,153.76
2/24/2000,155.32
2/25/2000,158.53
2/28/2000,156.48
2/29/2000,158.66
3/1/2000,160.81
3/2/2000,166.81
3/3/2000,167.29
3/6/2000,168.29
3/7/2000,165.75
3/8/2000,163.6
3/9/2000,165.46
3/10/2000,167.57
3/13/2000,162.94
3/14/2000,163.13
3/15/2000,158.87
3/16/2000,160.38
3/17/2000,161.87
3/20/2000,163.04
3/21/2000,162.08
3/22/2000,161.1
3/23/2000,160.71
3/24/2000,163.39
3/27/2000,165.71
3/28/2000,167.65
3/29/2000,167.1
3/30/2000,161.87
3/31/2000,161.28
4/3/2000,156.43
4/4/2000,159.05
4/5/2000,154
4/6/2000,159.06
4/7/2000,161.14
4/10/2000,162.72
4/11/2000,160.07
4/12/2000,159.42
4/13/2000,159.95
4/14/2000,154.8
4/17/2000,154.43
4/18/2000,156.69
4/19/2000,156.84
4/20/2000,158.46
4/21/2000,158.46
4/24/2000,158.46
4/25/2000,160.69
4/26/2000,162.81
4/27/2000,159.29
4/28/2000,163.69
5/1/2000,163.69
5/2/2000,167.36
5/3/2000,164.16
5/4/2000,165.65
5/5/2000,167.1
5/8/2000,166.36
5/9/2000,162.48
5/10/2000,159.85
5/11/2000,163.08
5/12/2000,165.03
5/15/2000,163.72
5/16/2000,167.85
5/17/2000,165.13
5/18/2000,165.62
5/19/2000,159.24
5/22/2000,156.38
5/23/2000,157.69
5/24/2000,154.11
5/25/2000,156.94
5/26/2000,156.8
5/29/2000,158.84
5/30/2000,162.17
5/31/2000,165.07
6/1/2000,169.42
6/2/2000,171.42
6/5/2000,171.24
6/6/2000,169.38
6/7/2000,167.03
6/8/2000,167.79
6/9/2000,168.51
6/12/2000,168.51
6/13/2000,167.85
6/14/2000,170.03
6/15/2000,167.47
6/16/2000,166.25
6/19/2000,167.34
6/20/2000,168.54
6/21/2000,166.94
6/22/2000,166.51
6/23/2000,168.29
6/26/2000,169.39
6/27/2000,168.85
6/28/2000,169.82
6/29/2000,164.33
6/30/2000,165.64
7/3/2000,167.45
7/4/2000,166.81
7/5/2000,165.98
7/6/2000,166.09
7/7/2000,169.08
7/10/2000,167.39
7/11/2000,167.21
7/12/2000,168.57
7/13/2000,169.45
7/14/2000,169.45
7/17/2000,170.58
7/18/2000,168.04
7/19/2000,167.47
7/20/2000,168.96
7/21/2000,166.26
7/24/2000,167.41
7/25/2000,166.52
7/26/2000,167.29
7/27/2000,167.45
7/28/2000,165.1
7/31/2000,168.47
8/1/2000,168.14
8/2/2000,167.83
8/3/2000,163.25
8/4/2000,166.09
8/7/2000,167.64
