security_ticker,market_ticker,event_date
TFI FP Equity,MSCI FRANCE,05/10/00
VIV FP Equity,MSCI FRANCE,12/11/00
DSY FP Equity,MSCI FRANCE,12/21/00
ORA FP Equity,MSCI FRANCE,05/04/01
DG FP Equity,MSCI FRANCE,04/03/02
DG FP Equity,MSCI FRANCE,08/06/02
RI FP Equity,MSCI FRANCE,07/11/03
LOR FP Equity,MSCI FRANCE,11/21/03
PUB FP Equity,MSCI FRANCE,10/01/04
EL FP Equity,MSCI FRANCE,01/03/05
ALO FP Equity,MSCI FRANCE,07/28/06
VK FP Equity,MSCI FRANCE,12/18/06
AF FP Equity,MSCI FRANCE,06/18/07
PUB FP Equity,MSCI FRANCE,09/20/10
SAF FP Equity,MSCI FRANCE,09/19/11
LR FP Equity,MSCI FRANCE,12/19/11
SOLB BB Equity,MSCI FRANCE,09/24/12
GTO NA Equity,MSCI FRANCE,12/24/12
ALU FP Equity,MSCI FRANCE,12/23/13
FR FP Equity,MSCI FRANCE,06/21/14
UG FP Equity,MSCI FRANCE,03/21/15
LI FP Equity,MSCI FRANCE,12/21/15
SW FP Equity,MSCI FRANCE,03/21/16
ATO FP Equity,MSCI FRANCE,03/20/17
STMPA FP Equity,MSCI FRANCE,03/20/17
RMS FP Equity,MSCI FRANCE,06/18/18
DSY FP Equity,MSCI FRANCE,09/24/18
WLN FP Equity,MSCI FRANCE,05/03/19
HO FP Equity,MSCI FRANCE,06/24/18
WLN FP Equity,MSCI FRANCE,03/23/20
TEP FP Equity,MSCI FRANCE,06/22/20
ALO FP Equity,MSCI FRANCE,06/22/20
ERF FP Equity,MSCI FRANCE,09/20/21
EDEN FP Equity,MSCI FRANCE,06/19/23
VIV FP Equity,MSCI FRANCE,12/18/23
