security_ticker,market_ticker,event_date
TFI FP Equity,MSCI FRANCE,05/10/00
VANTI FP Equity,MSCI FRANCE,08/23/00
VIV FP Equity,MSCI FRANCE,12/11/00
DSY FP Equity,MSCI FRANCE,12/21/00
VIE FP Equity,MSCI FRANCE,08/08/01
DG FP Equity,MSCI FRANCE,04/03/02
DG FP Equity,MSCI FRANCE,08/06/02
RI FP Equity,MSCI FRANCE,07/11/03
LOR FP Equity,MSCI FRANCE,11/21/03
PUB FP Equity,MSCI FRANCE,10/01/04
EDF FP Equity,MSCI FRANCE,12/19/05
ALO FP Equity,MSCI FRANCE,07/28/06
VK FP Equity,MSCI FRANCE,12/18/06
EDEN FP Equity,MSCI FRANCE,07/02/10
KN FP Equity,MSCI FRANCE,09/20/10
PUB FP Equity,MSCI FRANCE,09/20/10
SAF FP Equity,MSCI FRANCE,09/19/11
LR FP Equity,MSCI FRANCE,12/19/11
SOLB BB Equity,MSCI FRANCE,09/24/12
GTO NA Equity,MSCI FRANCE,12/24/12
ALU FP Equity,MSCI FRANCE,12/23/13
FR FP Equity,MSCI FRANCE,06/21/14
UG FP Equity,MSCI FRANCE,03/21/15
NOKIA FP Equity,MSCI FRANCE,01/07/16
SW FP Equity,MSCI FRANCE,03/21/16
ATO FP Equity,MSCI FRANCE,03/20/17
STMPA FP Equity,MSCI FRANCE,03/20/17
RMS FP Equity,MSCI FRANCE,06/18/18
DSY FP Equity,MSCI FRANCE,09/24/18
WLN FP Equity,MSCI FRANCE,05/03/19
WLN FP Equity,MSCI FRANCE,03/23/20
ALO FP Equity,MSCI FRANCE,06/22/20
VIV FP Equity,MSCI FRANCE,12/18/23
