,date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity,WLN FP Equity.1,TEP FP Equity,ALO FP Equity.1,STLAP FP Equity,ERF FP Equity,EDEN FP Equity.1,VIV FP Equity.1,MSCI FRANCE,,,
0,1/25/1999,15.91,,,22.8373,3.77,69.6701,,10.0389,16.0276,,12.6,17.6,,,172.1802,23.6891,75.6522,,,,,3.5395,12.6,10.4571,,10.021,,18.58,24.1667,16.5901,9.5645,,29.4651,78.0754,13.5833,23.167,3.77,,32.1,,12.87,172.1802,,0.669,,22.8373,101.82,,,
1,1/26/1999,15.5,,,22.6071,3.85,70.3171,,10.3089,16.0276,,13,17.65,,,171.2454,23.5252,80.5444,,,,,3.5625,13,10.3429,,9.7872,,19.2632,24.6667,16.5901,9.5213,,28.3512,76.7521,13.5667,24.967,3.85,,32.5,,12.98,171.2454,,0.669,,22.6071,102.21,,,
2,1/27/1999,16.5,,,22.7452,3.75,68.5053,,10.7507,16.0276,,13.52,18.275,,,173.37,23.7547,,,,,,3.5987,13.52,10.4952,,9.8456,,19.3771,24.8,16.7825,9.5105,,28.4051,78.4535,14.1833,23.667,3.75,,34.65,,13.07,173.37,,0.679,,22.7452,102.87,,,
3,1/28/1999,17.5,,,23.8319,3.832,67.2974,,10.7262,16.2433,,13.2,18.675,,,181.2737,23.6482,,,,,,3.6842,13.2,10.3809,,9.7538,,18.6938,25.6167,17.5044,8.8296,,28.8542,80.8354,15.25,25,3.832,,34.64,,13.06,181.2737,,0.679,,23.8319,105.25,,,
4,1/29/1999,17.5,,,23.7029,4.1,71.525,,10.7262,17.0755,,12.8,18.4,,,178.8941,25.0007,,,,,,3.8947,12.8,11.0095,,9.8289,,19.472,25.8,17.9976,8.8296,,28.0637,83.9358,15.35,25,4.1,,35.5,,12.87,178.8941,,0.67,,23.7029,106.31,,,
5,2/1/1999,17.12,,,24.1726,4.24,74.8899,,10.6771,16.3358,,13.3,17.89,,,186.0328,25.0826,,,,,,3.8158,13.3,10.6667,,9.8122,,19.3581,25.3,17.9495,9.0566,,28.4051,82.8015,15.5333,25.3,4.24,,34.8,,12.93,186.0328,,0.678,,24.1726,107.38,,,
6,2/2/1999,17.3,,,23.9424,4.215,71.1799,,10.3089,17.1064,,13.3,17.15,,,180.1688,25.0826,,,,,,3.8092,13.3,11.019,,9.7705,,18.8836,24.6667,17.348,9.1754,,30.0041,78.2644,15.6167,24.033,4.215,,35,,12.64,180.1688,,0.674,,23.9424,106.22,,,
7,2/3/1999,17.2,,,23.7582,3.91,69.6269,,9.9432,16.9522,,13.72,17.45,,,175.9196,24.7138,,,,,,3.7039,13.72,10.7809,,10.0043,,18.8267,24.5,16.0727,9.1863,,30.5431,78.6425,15,25.667,3.91,,34.8,,12.29,175.9196,,0.671,,23.7582,105.04,,,
8,2/4/1999,16.2,,,23.3898,4.15,69.4544,,9.8965,16.829,,13.61,18.025,,,179.064,24.9187,,,,,,3.7039,13.61,10.7905,,10.021,,18.4471,25.1667,15.9645,9.1646,,30.3634,80.911,14.85,25.333,4.15,,34.55,,12.09,179.064,,0.668,,23.3898,104.53,,,
9,2/5/1999,15.61,,,23.1136,4.05,68.721,,9.9775,16.7365,,13.7,17.7,,,181.0187,25.4023,,,,,,3.6842,13.7,10.7619,,10.1797,,17.6121,24.2333,16.181,9.2943,,29.0878,77.5082,13.6667,25.167,4.05,,35,,11.71,181.0187,,0.622,,23.1136,104.07,,,
