date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity
1/4/1999,225880,,,7734874,1492400,3256560.0,,412007,67201.0,,34790,134620.0,,,37049,23234.0,7535.0,,,,,38851,34790,98753.0,,28833.0,,4132150,362382.0,850788,10076.0,,179457,43406,1660800,11277,1492400.0,,118857.0
1/5/1999,558020,,9066181.0,2249450,3552960,,209261.0,68791,,40180.0,54840,,,57416.0,43084,2292.0,,,,,106248.0,40180,129360,,86452.0,,3675318.0,1284666,3553154.0,73413,,114668.0,77738,1748124,44223,2249450,,172943.0,
1/6/1999,294200,,11715490.0,2496510,3665914,,274272.0,326371,,42970.0,144880,,,146216.0,42512,2468.0,,,,,394121.0,42970,187373,,95352.0,,9247059.0,1447824,3543030.0,123323,,119251.0,44672,1912872,348360,2496510,,151219.0,
1/7/1999,929620,,8560117.0,4787180,2399776,,511799.0,275343,,40100.0,286560,,,102261.0,41645,2194.0,,,,,183251.0,40100,136028,,103442.0,,5976483.0,2183361,1308641.0,80084,,158915.0,43164,2684508,259455,4787180,,178338.0,
1/8/1999,467620,,6542046.0,1355240,2464663,,110141.0,136924,,32000.0,256820,,,37537.0,13198,2515.0,,,,,151802.0,32000,37328,,73850.0,,6191658.0,1484697,1415603.0,46727,,520157.0,75514,4096788,223641,1355240,,232731.0,
1/11/1999,515610,,5649600.0,1715530,2279248,,281919.0,218926,,47540.0,149320,,,35148.0,13238,2061.0,,,,,187173.0,47540,103110,,46214.0,,4157116.0,549999,1737601.0,15776,,321820.0,39926,3077664,285009,1715530,,356989.0,
1/12/1999,498210,,6039070.0,1752320,2240663,,463907.0,626862,,80380.0,274140,,,17256.0,9662,2052.0,,,,,200868.0,80380,132930,,75619.0,,4884027.0,1151871,2187109.0,29424,,399725.0,54218,4214976,137502,1752320,,292356.0,
1/13/1999,220000,,7039728.0,1820020,3094898,,136802.0,506287,,61000.0,228700,,,42644.0,27838,3343.0,,,,,526680.0,61000,330435,,298859.0,,8668258.0,1143480,2138059.0,59626,,434948.0,111464,4436202,80913,1820020,,417284.0,
1/14/1999,92410,,4705979.0,795050,3490434,,38167.0,475475,,29310.0,210300,,,53645.0,15552,1988.0,,,,,117086.0,29310,465098,,153689.0,,5455663.0,662181,1106397.0,74967,,388026.0,50794,3395646,94404,795050,,238838.0,
1/15/1999,155840,,6438128.0,2903630,3339749,,197592.0,327023,,62480.0,248540,,,52464.0,41429,1493.0,,,,,243443.0,62480,526470,,518148.0,,4676086.0,425064,1885101.0,94593,,481891.0,36576,4352580,86022,2903630,,223599.0,
1/18/1999,356940,,6591967.0,1347160,2692670,,161870.0,171243,,76100.0,224360,,,37077.0,15226,1273.0,,,,,112070.0,76100,365453,,316623.0,,4042602.0,654312,1507403.0,170578,,492192.0,57562,3119454,58812,1347160,,208692.0,
1/19/1999,772430,,6089357.0,1749040,3897596,,47831.0,98095,,54910.0,108780,,,54818.0,10064,1655.0,,,,,48199.0,54910,47985,,109564.0,,6311230.0,516879,3495501.0,71794,,533657.0,36192,4644516,51519,1749040,,652078.0,
1/20/1999,1413190,,5901159.0,1559180,5221549,,146274.0,276651,,98330.0,418980,,,112262.0,17929,1159.0,,,,,158642.0,98330,82425,,77861.0,,7343808.0,1041738,1195786.0,74625,,628857.0,43248,5423490,15069,1559180,,230791.0,
1/21/1999,562320,,5247318.0,2850840,3801054,,67260.0,191456,,189640.0,263940,,,48802.0,15346,1064.0,,,,,136542.0,189640,78015,,49199.0,,4849208.0,797811,2201074.0,102736,,159221.0,74976,3381288,83352,2850840,,173646.0,
1/22/1999,300310,,5030541.0,3500680,3013333,,160114.0,553337,,171230.0,131580,,,50640.0,41306,1172.0,,,,,110626.0,171230,166950,,90225.0,,5558769.0,1073565,1652459.0,150277,,315546.0,60816,2811372,69381,3500680,,302127.0,
1/25/1999,276180,,6724369.0,1713370,2891917,,22681.0,142443,,183460.0,268600,,,27988.0,26808,3615.0,,,,,35142.0,183460,59640,,59359.0,,3688112.0,506667,1278817.0,96823,,265483.0,27334,2762970,98301,1713370,,173140.0,
1/26/1999,439850,,5131624.0,3264740,3725683,,201247.0,214404,,273600.0,394260,,,15239.0,25926,,,,,,114821.0,273600,233468,,98943.0,,4089112.0,1358628,1272201.0,14148,,428972.0,41246,3729000,71019,3264740,,236745.0,
1/27/1999,828400,,9112518.0,1229310,2997750,,48275.0,219030,,24550.0,102760,,,20225.0,12510,,,,,,43062.0,24550,98333,,80468.0,,8038040.0,611070,1046657.0,52270,,378472.0,42408,6759540,11841,1229310,,225339.0,
1/28/1999,2042140,,7366055.0,1639390,3218799,,55967.0,193999,,28210.0,189080,,,48210.0,34730,,,,,,121676.0,28210,129938,,65481.0,,12917182.0,900996,2919174.0,229705,,422420.0,26846,6254130,24417,1639390,,245612.0,
1/29/1999,869090,,7071811.0,4287850,4658266,,59800.0,439666,,45060.0,176620,,,122838.0,61555,,,,,,354114.0,45060,336893,,66401.0,,7887285.0,864366,2097362.0,216251,,579729.0,95550,6614226,69381,4287850,,381560.0,
2/1/1999,458000,,4998121.0,2512050,3445949,,94565.0,261697,,45000.0,200360,,,146718.0,75941,,,,,,104834.0,45000,56753,,56278.0,,4735285.0,375558,863065.0,29480,,439021.0,27654,2709780,50304,2512050,,221718.0,
