security_ticker,market_ticker,event_date
LR FP Equity,MSCI FRANCE,5/1/2000
2061Q FP Equity,MSCI FRANCE,7/10/2000
178235Z FP Equity,MSCI FRANCE,12/11/2000
178235Z FP Equity,MSCI FRANCE,5/4/2001
FR FP Equity,MSCI FRANCE,8/8/2001
ALO FP Equity,MSCI FRANCE,4/3/2002
DSY FP Equity,MSCI FRANCE,8/6/2002
SW FP Equity,MSCI FRANCE,1/3/2005
CO FP Equity,MSCI FRANCE,9/1/2005
TFI FP Equity,MSCI FRANCE,12/19/2005
HO FP Equity,MSCI FRANCE,7/28/2006
PUB FP Equity,MSCI FRANCE,12/18/2006
VANTI FP Equity,MSCI FRANCE,6/18/2007
AF FP Equity,MSCI FRANCE,9/21/2009
EDEN FP Equity,MSCI FRANCE,7/5/2010
DEXB BB Equity,MSCI FRANCE,9/20/2010
MMB FP Equity,MSCI FRANCE,9/20/2010
SEV FP Equity,MSCI FRANCE,9/16/2011
SEV FP Equity,MSCI FRANCE,12/16/2011
UG FP Equity,MSCI FRANCE,9/21/2012
ALU FP Equity,MSCI FRANCE,12/21/2012
STMPA FP Equity,MSCI FRANCE,12/20/2013
VK FP Equity,MSCI FRANCE,6/18/2014
GTO NA Equity,MSCI FRANCE,3/18/2015
EDF FP Equity,MSCI FRANCE,12/18/2015
ALO FP Equity,MSCI FRANCE,3/18/2016
LI FP Equity,MSCI FRANCE,3/20/2017
NOKIA FP Equity,MSCI FRANCE,3/18/2017
FP Equity,MSCI FRANCE,6/18/2018
SOLB BB Equity,MSCI FRANCE,9/24/2018
WLN FP Equity,MSCI FRANCE,6/24/2019
FR FP Equity,MSCI FRANCE,6/24/2019
FP Equity,MSCI FRANCE,3/23/2020
SW FP Equity,MSCI FRANCE,6/22/2020
AC FP Equity,MSCI FRANCE,9/21/2020
ATO FP Equity,MSCI FRANCE,9/17/2021
VIV FP Equity,MSCI FRANCE,6/16/2023
WLN FP Equity,MSCI FRANCE,12/15/2023
