security_ticker,market_ticker,event_date
FR FP Equity,MSCI FRANCE,08/08/01
ALO FP Equity,MSCI FRANCE,04/03/02
DSY FP Equity,MSCI FRANCE,08/06/02
SW FP Equity,MSCI FRANCE,01/03/05
CO FP Equity,MSCI FRANCE,09/01/05
TFI FP Equity,MSCI FRANCE,12/19/05
HO FP Equity,MSCI FRANCE,07/28/06
PUB FP Equity,MSCI FRANCE,12/18/06
VANTI FP Equity,MSCI FRANCE,06/18/07
AF FP Equity,MSCI FRANCE,09/21/09
DEXB BB Equity,MSCI FRANCE,09/20/10
MMB FP Equity,MSCI FRANCE,09/20/10
SEV FP Equity,MSCI FRANCE,09/16/11
SEV FP Equity,MSCI FRANCE,12/16/11
UG FP Equity,MSCI FRANCE,09/21/12
ALU FP Equity,MSCI FRANCE,12/21/12
STMPA FP Equity,MSCI FRANCE,12/20/13
VK FP Equity,MSCI FRANCE,06/18/14
GTO NA Equity,MSCI FRANCE,03/18/15
EDF FP Equity,MSCI FRANCE,12/18/15
ALO FP Equity,MSCI FRANCE,03/18/16
LI FP Equity,MSCI FRANCE,03/20/17
SOLB BB Equity,MSCI FRANCE,09/24/18
WLN FP Equity,MSCI FRANCE,06/24/19
FR FP Equity,MSCI FRANCE,06/24/19
SW FP Equity,MSCI FRANCE,06/22/20
AC FP Equity,MSCI FRANCE,09/21/20
ATO FP Equity,MSCI FRANCE,09/17/21
VIV FP Equity,MSCI FRANCE,06/16/23
WLN FP Equity,MSCI FRANCE,12/15/23
