,date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1,MSCI FRANCE,,,
0,1/25/1999,,,24.1667,172.1802,3.77,29.4651,80.5753,15.91,32.1,12.6,,75.6522,,12525.291,35.3,,,16.5901,18.58,13.5833,23.6891,,,172.1802,9.5645,,10.021,,24.1667,29.4651,23.16,78.0754,22.8373,,101.82,,,
1,1/26/1999,,,24.6667,171.2454,3.85,28.3512,80.5753,15.5,32.5,13,,80.5444,,12426.6667,35.89,,,16.5901,19.2632,13.5667,23.5252,,,171.2454,9.5213,,9.7872,,24.6667,28.3512,22.7441,76.7521,22.6071,,102.21,,,
2,1/27/1999,,,24.8,173.37,3.75,28.4051,82.6486,16.5,34.65,13.52,,,,12973.5834,37.68,,,16.7825,19.3771,14.1833,23.7547,,,173.37,9.5105,,9.8456,,24.8,28.4051,22.4842,78.4535,22.7452,,102.87,,,
3,1/28/1999,,,25.6167,181.2737,3.832,28.8542,82.8371,17.5,34.64,13.2,,,,13126.0029,39,,,17.5044,18.6938,15.25,23.6482,,,181.2737,8.8296,,9.7538,,25.6167,28.8542,23.394,80.8354,23.8319,,105.25,,,
4,1/29/1999,,,25.8,178.8941,4.1,28.0637,80.5753,17.5,35.5,12.8,,,,13197.7297,38.52,,,17.9976,19.472,15.35,25.0007,,,178.8941,8.8296,,9.8289,,25.8,28.0637,23.394,83.9358,23.7029,,106.31,,,
5,2/1/1999,,,25.3,186.0328,4.24,28.4051,80.3869,17.12,34.8,13.3,,,,13233.5931,39.85,,,17.9495,19.3581,15.5333,25.0826,,,186.0328,9.0566,,9.8122,,25.3,28.4051,24.6936,82.8015,24.1726,,107.38,,,
6,2/2/1999,,,24.6667,180.1688,4.215,30.0041,85.7114,17.3,35,13.3,,,,13018.4127,38.68,,,17.348,18.8836,15.6167,25.0826,,,180.1688,9.1754,,9.7705,,24.6667,30.0041,24.8236,78.2644,23.9424,,106.22,,,
7,2/3/1999,,,24.5,175.9196,3.91,30.5431,85.7586,17.2,34.8,13.72,,,,13054.2761,37.75,,,16.0727,18.8267,15,24.7138,,,175.9196,9.1863,,10.0043,,24.5,30.5431,25.0705,78.6425,23.7582,,105.04,,,
8,2/4/1999,,,25.1667,179.064,4.15,30.3634,84.9575,16.2,34.55,13.61,,,,13054.2761,37.05,,,15.9645,18.4471,14.85,24.9187,,,179.064,9.1646,,10.021,,25.1667,30.3634,25.2135,80.911,23.3898,,104.53,,,
9,2/5/1999,,,24.2333,181.0187,4.05,29.0878,83.4968,15.61,35,13.7,,,,13215.6614,38.01,,,16.181,17.6121,13.6667,25.4023,,,181.0187,9.2943,,10.1797,,24.2333,29.0878,24.5766,77.5082,23.1136,,104.07,,,
10,2/8/1999,,,26.2667,186.9677,4.09,28.5668,85.6643,15.98,36.5,14.47,,,,13368.0808,38.13,,,16.3615,18.3522,14.0333,26.4761,,,186.9677,9.3592,,10.1546,,26.2667,28.5668,26.6431,77.168,22.2848,,104.42,,,
