date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1
1/4/1999,,,362382,37049,1492400,179457,75401,225880,118857.0,34790,,7535.0,,465.0,310014.0,,,850788.0,4132150.0,1660800,23234,,,37049,10076,,28833,,362382,179457,750965,43406,7734874,
1/5/1999,,,1284666,57416,2249450,114668,161302,558020,172943.0,40180,,2292.0,,757.0,262872.0,,,3553154.0,3675318.0,1748124,43084,,,57416,73413,,86452,,1284666,114668,677575,77738,9066181,
1/6/1999,,,1447824,146216,2496510,119251,161643,294200,151219.0,42970,,2468.0,,792.0,279221.0,,,3543030.0,9247059.0,1912872,42512,,,146216,123323,,95352,,1447824,119251,1145075,44672,11715490,
1/7/1999,,,2183361,102261,4787180,158915,175340,929620,178338.0,40100,,2194.0,,698.0,258858.0,,,1308641.0,5976483.0,2684508,41645,,,102261,80084,,103442,,2183361,158915,854920,43164,8560117,
1/8/1999,,,1484697,37537,1355240,520157,67321,467620,232731.0,32000,,2515.0,,573.0,255450.0,,,1415603.0,6191658.0,4096788,13198,,,37537,46727,,73850,,1484697,520157,1206190,75514,6542046,
1/11/1999,,,549999,35148,1715530,321820,155925,515610,356989.0,47540,,2061.0,,755.0,408706.0,,,1737601.0,4157116.0,3077664,13238,,,35148,15776,,46214,,549999,321820,461980,39926,5649600,
1/12/1999,,,1151871,17256,1752320,399725,90951,498210,292356.0,80380,,2052.0,,478.0,363653.0,,,2187109.0,4884027.0,4214976,9662,,,17256,29424,,75619,,1151871,399725,582430,54218,6039070,
1/13/1999,,,1143480,42644,1820020,434948,109700,220000,417284.0,61000,,3343.0,,819.0,431657.0,,,2138059.0,8668258.0,4436202,27838,,,42644,59626,,298859,,1143480,434948,1401820,111464,7039728,
1/14/1999,,,662181,53645,795050,388026,120000,92410,238838.0,29310,,1988.0,,1315.0,190133.0,,,1106397.0,5455663.0,3395646,15552,,,53645,74967,,153689,,662181,388026,509315,50794,4705979,
1/15/1999,,,425064,52464,2903630,481891,54053,155840,223599.0,62480,,1493.0,,4672.0,435148.0,,,1885101.0,4676086.0,4352580,41429,,,52464,94593,,518148,,425064,481891,547065,36576,6438128,
1/18/1999,,,654312,37077,1347160,492192,120683,356940,208692.0,76100,,1273.0,,963.0,173191.0,,,1507403.0,4042602.0,3119454,15226,,,37077,170578,,316623,,654312,492192,501035,57562,6591967,
1/19/1999,,,516879,54818,1749040,533657,93834,772430,652078.0,54910,,1655.0,,884.0,669810.0,,,3495501.0,6311230.0,4644516,10064,,,54818,71794,,109564,,516879,533657,765000,36192,6089357,
1/20/1999,,,1041738,112262,1559180,628857,114821,1413190,230791.0,98330,,1159.0,,708.0,734165.0,,,1195786.0,7343808.0,5423490,17929,,,112262,74625,,77861,,1041738,628857,669895,43248,5901159,
1/21/1999,,,797811,48802,2850840,159221,69216,562320,173646.0,189640,,1064.0,,598.0,272834.0,,,2201074.0,4849208.0,3381288,15346,,,48802,102736,,49199,,797811,159221,799230,74976,5247318,
1/22/1999,,,1073565,50640,3500680,315546,148087,300310,302127.0,171230,,1172.0,,454.0,436036.0,,,1652459.0,5558769.0,2811372,41306,,,50640,150277,,90225,,1073565,315546,986870,60816,5030541,
1/25/1999,,,506667,27988,1713370,265483,43268,276180,173140.0,183460,,3615.0,,469.0,171833.0,,,1278817.0,3688112.0,2762970,26808,,,27988,96823,,59359,,506667,265483,598540,27334,6724369,
1/26/1999,,,1358628,15239,3264740,428972,105197,439850,236745.0,273600,,,,522.0,279532.0,,,1272201.0,4089112.0,3729000,25926,,,15239,14148,,98943,,1358628,428972,852520,41246,5131624,
1/27/1999,,,611070,20225,1229310,378472,69966,828400,225339.0,24550,,,,711.0,390082.0,,,1046657.0,8038040.0,6759540,12510,,,20225,52270,,80468,,611070,378472,1175655,42408,9112518,
1/28/1999,,,900996,48210,1639390,422420,211731,2042140,245612.0,28210,,,,695.0,505409.0,,,2919174.0,12917182.0,6254130,34730,,,48210,229705,,65481,,900996,422420,810680,26846,7366055,
1/29/1999,,,864366,122838,4287850,579729,159274,869090,381560.0,45060,,,,620.0,354160.0,,,2097362.0,7887285.0,6614226,61555,,,122838,216251,,66401,,864366,579729,1459460,95550,7071811,
2/1/1999,,,375558,146718,2512050,439021,134193,458000,221718.0,45000,,,,695.0,559269.0,,,863065.0,4735285.0,2709780,75941,,,146718,29480,,56278,,375558,439021,1068390,27654,4998121,
