security_ticker,market_ticker,event_date
CPI LN Equity,FTSE ALL SHARES,03/20/2000
AHM LN Equity,FTSE ALL SHARES,03/20/2000
PON LN Equity,FTSE ALL SHARES,03/20/2000
CWC LN Equity,FTSE ALL SHARES,03/20/2000
567941Q LN Equity,FTSE ALL SHARES,03/20/2000
ALLD LN Equity,FTSE ALL SHARES,05/12/2000
ABF LN Equity,FTSE ALL SHARES,05/30/2000
SCTN LN Equity,FTSE ALL SHARES,06/19/2000
HNS LN Equity,FTSE ALL SHARES,06/19/2000
PWG LN Equity,FTSE ALL SHARES,07/12/2000
IMB LN Equity,FTSE ALL SHARES,07/27/2000
SPT LN Equity,FTSE ALL SHARES,09/18/2000
RS1 LN Equity,FTSE ALL SHARES,09/18/2000
CWG LN Equity,FTSE ALL SHARES,10/17/2000
SHP LN Equity,FTSE ALL SHARES,10/26/2000
SFW LN Equity,FTSE ALL SHARES,12/18/2000
RR/ LN Equity,FTSE ALL SHARES,12/18/2000
ABF LN Equity,FTSE ALL SHARES,12/18/2000
SMIN LN Equity,FTSE ALL SHARES,12/18/2000
GSK LN Equity,FTSE ALL SHARES,12/27/2000
HNS LN Equity,FTSE ALL SHARES,12/27/2000
SCTN LN Equity,FTSE ALL SHARES,03/19/2001
MRW LN Equity,FTSE ALL SHARES,04/10/2001
NXT LN Equity,FTSE ALL SHARES,06/18/2001
SN/ LN Equity,FTSE ALL SHARES,07/12/2001
GLH LN Equity,FTSE ALL SHARES,09/10/2001
BLND LN Equity,FTSE ALL SHARES,09/24/2001
EMG LN Equity,FTSE ALL SHARES,09/24/2001
SVT LN Equity,FTSE ALL SHARES,09/24/2001
1942553D LN Equity,FTSE ALL SHARES,09/24/2001
NRK LN Equity,FTSE ALL SHARES,09/24/2001
BT/A LN Equity,FTSE ALL SHARES,11/19/2001
CS/ LN Equity,FTSE ALL SHARES,03/18/2002
EXL LN Equity,FTSE ALL SHARES,05/10/2002
BNZL LN Equity,FTSE ALL SHARES,06/24/2002
JMAT LN Equity,FTSE ALL SHARES,06/24/2002
BB/ LN Equity,FTSE ALL SHARES,07/02/2002
AUN LN Equity,FTSE ALL SHARES,09/23/2002
TOMK LN Equity,FTSE ALL SHARES,09/23/2002
REX LN Equity,FTSE ALL SHARES,09/23/2002
8179618Q LN Equity,FTSE ALL SHARES,12/23/2002
WTB LN Equity,FTSE ALL SHARES,12/23/2002
INTU LN Equity,FTSE ALL SHARES,12/23/2002
KEL LN Equity,FTSE ALL SHARES,03/24/2003
FCIT LN Equity,FTSE ALL SHARES,03/24/2003
RR/ LN Equity,FTSE ALL SHARES,06/23/2003
RSA LN Equity,FTSE ALL SHARES,06/23/2003
HAS LN Equity,FTSE ALL SHARES,12/22/2003
8179618Q LN Equity,FTSE ALL SHARES,12/22/2003
ANTO LN Equity,FTSE ALL SHARES,03/08/2004
EIG LN Equity,FTSE ALL SHARES,03/22/2004
WMH LN Equity,FTSE ALL SHARES,04/08/2004
CPI LN Equity,FTSE ALL SHARES,06/21/2004
CNE LN Equity,FTSE ALL SHARES,09/20/2004
CS/ LN Equity,FTSE ALL SHARES,11/16/2004
TATE LN Equity,FTSE ALL SHARES,12/20/2004
IPR LN Equity,FTSE ALL SHARES,03/21/2005
HMSO LN Equity,FTSE ALL SHARES,06/20/2005
BPB LN Equity,FTSE ALL SHARES,06/20/2005
KEL LN Equity,FTSE ALL SHARES,07/26/2005
CNE LN Equity,FTSE ALL SHARES,09/19/2005
CCL LN Equity,FTSE ALL SHARES,12/08/2005
BI/ LN Equity,FTSE ALL SHARES,12/13/2005
PSN LN Equity,FTSE ALL SHARES,12/19/2005
CS/ LN Equity,FTSE ALL SHARES,03/09/2006
LMI LN Equity,FTSE ALL SHARES,06/19/2006
VED LN Equity,FTSE ALL SHARES,06/19/2006
IAP LN Equity,FTSE ALL SHARES,06/30/2006
SGRO LN Equity,FTSE ALL SHARES,07/31/2006
BB/ LN Equity,FTSE ALL SHARES,09/05/2006
WTB LN Equity,FTSE ALL SHARES,12/18/2006
DMGT LN Equity,FTSE ALL SHARES,03/19/2007
SDR LN Equity,FTSE ALL SHARES,03/30/2007
PUB LN Equity,FTSE ALL SHARES,04/17/2007
MAB LN Equity,FTSE ALL SHARES,04/20/2007
