security_ticker,market_ticker,event_date
AUN LN Equity,FTSE ALL SHARES,9/23/2002
1655637D LN Equity,FTSE ALL SHARES,12/22/2008
1837977D LN Equity,FTSE ALL SHARES,12/22/2008
1942553D LN Equity,FTSE ALL SHARES,9/24/2001
CNE LN Equity,FTSE ALL SHARES,9/20/2004
CNE LN Equity,FTSE ALL SHARES,9/19/2005
CNE LN Equity,FTSE ALL SHARES,12/24/2007
CURY LN Equity,FTSE ALL SHARES,3/21/2016
3572335Q LN Equity,FTSE ALL SHARES,9/24/2007
RSA LN Equity,FTSE ALL SHARES,6/23/2003
567941Q LN Equity,FTSE ALL SHARES,3/20/2000
8179618Q LN Equity,FTSE ALL SHARES,12/23/2002
8179618Q LN Equity,FTSE ALL SHARES,12/22/2003
AAF LN Equity,FTSE ALL SHARES,1/31/2022
ABDN LN Equity,FTSE ALL SHARES,12/19/2022
ABF LN Equity,FTSE ALL SHARES,5/30/2000
ABF LN Equity,FTSE ALL SHARES,12/18/2000
ADM LN Equity,FTSE ALL SHARES,12/24/2007
ADN LN Equity,FTSE ALL SHARES,3/19/2012
AGK LN Equity,FTSE ALL SHARES,12/21/2009
AHM LN Equity,FTSE ALL SHARES,3/20/2000
AHT LN Equity,FTSE ALL SHARES,12/23/2013
ALLD LN Equity,FTSE ALL SHARES,5/12/2000
AMFW LN Equity,FTSE ALL SHARES,12/20/2007
ANTO LN Equity,FTSE ALL SHARES,3/8/2004
ASHM LN Equity,FTSE ALL SHARES,9/19/2011
ATST LN Equity,FTSE ALL SHARES,2/7/2008
AU/ LN Equity,FTSE ALL SHARES,9/22/2008
AUTO LN Equity,FTSE ALL SHARES,12/31/2018
AVST LN Equity,FTSE ALL SHARES,6/22/2020
AVV LN Equity,FTSE ALL SHARES,6/24/2019
BAB LN Equity,FTSE ALL SHARES,6/18/2012
BB/ LN Equity,FTSE ALL SHARES,7/2/2002
BB/ LN Equity,FTSE ALL SHARES,9/5/2006
BDEV LN Equity,FTSE ALL SHARES,6/18/2007
BDEV LN Equity,FTSE ALL SHARES,3/24/2014
BDEV LN Equity,FTSE ALL SHARES,12/22/2014
BEZ LN Equity,FTSE ALL SHARES,12/19/2022
BGY LN Equity,FTSE ALL SHARES,6/26/2007
BI/ LN Equity,FTSE ALL SHARES,12/13/2005
BKG LN Equity,FTSE ALL SHARES,9/18/2017
BKG LN Equity,FTSE ALL SHARES,9/21/2015
BLND LN Equity,FTSE ALL SHARES,9/24/2001
BME LN Equity,FTSE ALL SHARES,9/21/2020
BNZL LN Equity,FTSE ALL SHARES,6/24/2002
BNZL LN Equity,FTSE ALL SHARES,4/30/2008
BNZL LN Equity,FTSE ALL SHARES,9/19/2011
BPB LN Equity,FTSE ALL SHARES,6/20/2005
BT/A LN Equity,FTSE ALL SHARES,11/19/2001
CCL LN Equity,FTSE ALL SHARES,12/8/2005
CNA LN Equity,FTSE ALL SHARES,6/20/2022
COB LN Equity,FTSE ALL SHARES,3/26/2008
CPI LN Equity,FTSE ALL SHARES,3/20/2000
CPI LN Equity,FTSE ALL SHARES,6/21/2004
CRDA LN Equity,FTSE ALL SHARES,3/19/2012
CRH LN Equity,FTSE ALL SHARES,12/19/2011
CS/ LN Equity,FTSE ALL SHARES,3/18/2002
CS/ LN Equity,FTSE ALL SHARES,3/9/2006
CS/ LN Equity,FTSE ALL SHARES,11/16/2004
CTEC LN Equity,FTSE ALL SHARES,9/19/2022
CURY LN Equity,FTSE ALL SHARES,9/22/2014
CWC LN Equity,FTSE ALL SHARES,3/20/2000
CWG LN Equity,FTSE ALL SHARES,10/17/2000
DCC LN Equity,FTSE ALL SHARES,12/21/2015
DLG LN Equity,FTSE ALL SHARES,9/22/2014
DMGT LN Equity,FTSE ALL SHARES,3/19/2007
DPH LN Equity,FTSE ALL SHARES,12/20/2021
DPH LN Equity,FTSE ALL SHARES,9/18/2023
DPLM LN Equity,FTSE ALL SHARES,9/18/2023
DRX LN Equity,FTSE ALL SHARES,6/23/2008
EIG LN Equity,FTSE ALL SHARES,3/22/2004
EMG LN Equity,FTSE ALL SHARES,9/24/2001
ENT LN Equity,FTSE ALL SHARES,6/18/2018
ENT LN Equity,FTSE ALL SHARES,6/22/2020
EVR LN Equity,FTSE ALL SHARES,1/15/2018
EXL LN Equity,FTSE ALL SHARES,5/10/2002
EZJ LN Equity,FTSE ALL SHARES,3/18/2013
EZJ LN Equity,FTSE ALL SHARES,12/23/2019
FCIT LN Equity,FTSE ALL SHARES,9/19/2022
FCIT LN Equity,FTSE ALL SHARES,3/24/2003
FCIT LN Equity,FTSE ALL SHARES,3/23/2009
FGP LN Equity,FTSE ALL SHARES,12/24/2007
FRAS LN Equity,FTSE ALL SHARES,9/13/2022
FRAS LN Equity,FTSE ALL SHARES,9/23/2013
FRES LN Equity,FTSE ALL SHARES,3/23/2020
GFS LN Equity,FTSE ALL SHARES,12/24/2007
GFS LN Equity,FTSE ALL SHARES,6/19/2017
GLH LN Equity,FTSE ALL SHARES,9/10/2001
GSK LN Equity,FTSE ALL SHARES,12/27/2000
HAS LN Equity,FTSE ALL SHARES,12/22/2003
HBR LN Equity,FTSE ALL SHARES,5/12/2022
HBR LN Equity,FTSE ALL SHARES,9/19/2022
HIK LN Equity,FTSE ALL SHARES,3/20/2015
HIK LN Equity,FTSE ALL SHARES,6/20/2016
HIK LN Equity,FTSE ALL SHARES,12/24/2018
HIK LN Equity,FTSE ALL SHARES,9/23/2019
HIK LN Equity,FTSE ALL SHARES,9/18/2023
HL/ LN Equity,FTSE ALL SHARES,3/21/2011
HLMA LN Equity,FTSE ALL SHARES,12/18/2017
HMSO LN Equity,FTSE ALL SHARES,6/20/2005
HNS LN Equity,FTSE ALL SHARES,6/19/2000
HNS LN Equity,FTSE ALL SHARES,12/27/2000
HSV LN Equity,FTSE ALL SHARES,6/22/2020
HSV LN Equity,FTSE ALL SHARES,9/12/2022
HSX LN Equity,FTSE ALL SHARES,12/24/2018
HSX LN Equity,FTSE ALL SHARES,1/18/2023
HWDN LN Equity,FTSE ALL SHARES,3/21/2022
HWDN LN Equity,FTSE ALL SHARES,9/25/2023
