security_ticker,market_ticker,event_date
REX LN Equity,FTSE ALL SHARES,02/15/2016
CURY LN Equity,FTSE ALL SHARES,03/21/2016
MRW LN Equity,FTSE ALL SHARES,03/21/2016
MDC LN Equity,FTSE ALL SHARES,03/21/2016
INF LN Equity,FTSE ALL SHARES,03/21/2016
HIK LN Equity,FTSE ALL SHARES,06/20/2016
SMIN LN Equity,FTSE ALL SHARES,06/27/2016
MCRO LN Equity,FTSE ALL SHARES,09/05/2016
POLY LN Equity,FTSE ALL SHARES,09/19/2016
SKG LN Equity,FTSE ALL SHARES,12/19/2016
SMT LN Equity,FTSE ALL SHARES,03/20/2017
RTO LN Equity,FTSE ALL SHARES,03/20/2017
SGRO LN Equity,FTSE ALL SHARES,06/19/2017
GFS LN Equity,FTSE ALL SHARES,06/19/2017
BKG LN Equity,FTSE ALL SHARES,09/18/2017
NMC LN Equity,FTSE ALL SHARES,09/18/2017
SMDS LN Equity,FTSE ALL SHARES,12/18/2017
HLMA LN Equity,FTSE ALL SHARES,12/18/2017
JE/ LN Equity,FTSE ALL SHARES,12/18/2017
EVR LN Equity,FTSE ALL SHARES,01/15/2018
IDS LN Equity,FTSE ALL SHARES,03/19/2018
MRO LN Equity,FTSE ALL SHARES,04/24/2018
OCDO LN Equity,FTSE ALL SHARES,06/18/2018
ENT LN Equity,FTSE ALL SHARES,06/18/2018
RMV LN Equity,FTSE ALL SHARES,06/28/2018
WG/ LN Equity,FTSE ALL SHARES,10/12/2018
HSX LN Equity,FTSE ALL SHARES,12/24/2018
SPX LN Equity,FTSE ALL SHARES,12/24/2018
HIK LN Equity,FTSE ALL SHARES,12/24/2018
AUTO LN Equity,FTSE ALL SHARES,12/31/2018
PHNX LN Equity,FTSE ALL SHARES,03/18/2019
JE/ LN Equity,FTSE ALL SHARES,03/18/2019
JD/ LN Equity,FTSE ALL SHARES,06/24/2019
AVV LN Equity,FTSE ALL SHARES,06/24/2019
HIK LN Equity,FTSE ALL SHARES,09/23/2019
MGGT LN Equity,FTSE ALL SHARES,09/23/2019
POLY LN Equity,FTSE ALL SHARES,09/23/2019
EZJ LN Equity,FTSE ALL SHARES,12/23/2019
FRES LN Equity,FTSE ALL SHARES,03/23/2020
PNN LN Equity,FTSE ALL SHARES,03/23/2020
ICG LN Equity,FTSE ALL SHARES,03/23/2020
HSV LN Equity,FTSE ALL SHARES,06/22/2020
ENT LN Equity,FTSE ALL SHARES,06/22/2020
AVST LN Equity,FTSE ALL SHARES,06/22/2020
KGF LN Equity,FTSE ALL SHARES,06/22/2020
BME LN Equity,FTSE ALL SHARES,09/21/2020
PSH LN Equity,FTSE ALL SHARES,12/21/2020
RSW LN Equity,FTSE ALL SHARES,03/22/2021
WEIR LN Equity,FTSE ALL SHARES,03/22/2021
IDS LN Equity,FTSE ALL SHARES,05/28/2021
ITV LN Equity,FTSE ALL SHARES,06/21/2021
MGGT LN Equity,FTSE ALL SHARES,09/20/2021
RS1 LN Equity,FTSE ALL SHARES,12/20/2021
DPH LN Equity,FTSE ALL SHARES,12/20/2021
AAF LN Equity,FTSE ALL SHARES,01/31/2022
HWDN LN Equity,FTSE ALL SHARES,03/21/2022
HBR LN Equity,FTSE ALL SHARES,05/12/2022
UTG LN Equity,FTSE ALL SHARES,06/20/2022
CNA LN Equity,FTSE ALL SHARES,06/20/2022
HSV LN Equity,FTSE ALL SHARES,09/12/2022
FRAS LN Equity,FTSE ALL SHARES,09/13/2022
HBR LN Equity,FTSE ALL SHARES,09/19/2022
CTEC LN Equity,FTSE ALL SHARES,09/19/2022
FCIT LN Equity,FTSE ALL SHARES,09/19/2022
ABDN LN Equity,FTSE ALL SHARES,12/19/2022
WEIR LN Equity,FTSE ALL SHARES,12/19/2022
BEZ LN Equity,FTSE ALL SHARES,12/19/2022
JMAT LN Equity,FTSE ALL SHARES,01/04/2023
HSX LN Equity,FTSE ALL SHARES,01/18/2023
IMI LN Equity,FTSE ALL SHARES,06/19/2023
DPLM LN Equity,FTSE ALL SHARES,09/18/2023
MKS LN Equity,FTSE ALL SHARES,09/18/2023
DPH LN Equity,FTSE ALL SHARES,09/18/2023
HIK LN Equity,FTSE ALL SHARES,09/18/2023
HWDN LN Equity,FTSE ALL SHARES,09/25/2023
ICG LN Equity,FTSE ALL SHARES,12/18/2023
