security_ticker,market_ticker,event_date
BDEV LN Equity,FTSE ALL SHARES,06/18/2007
BGY LN Equity,FTSE ALL SHARES,06/26/2007
RTO LN Equity,FTSE ALL SHARES,08/22/2007
TLW LN Equity,FTSE ALL SHARES,09/24/2007
3572335Q LN Equity,FTSE ALL SHARES,09/24/2007
TW/ LN Equity,FTSE ALL SHARES,09/24/2007
LSEG LN Equity,FTSE ALL SHARES,12/04/2007
AMFW LN Equity,FTSE ALL SHARES,12/20/2007
CNE LN Equity,FTSE ALL SHARES,12/24/2007
GFS LN Equity,FTSE ALL SHARES,12/24/2007
ADM LN Equity,FTSE ALL SHARES,12/24/2007
FGP LN Equity,FTSE ALL SHARES,12/24/2007
ATST LN Equity,FTSE ALL SHARES,02/07/2008
COB LN Equity,FTSE ALL SHARES,03/26/2008
WG/ LN Equity,FTSE ALL SHARES,04/28/2008
BNZL LN Equity,FTSE ALL SHARES,04/30/2008
DRX LN Equity,FTSE ALL SHARES,06/23/2008
PFC LN Equity,FTSE ALL SHARES,06/23/2008
ISYS LN Equity,FTSE ALL SHARES,06/23/2008
ISAT LN Equity,FTSE ALL SHARES,09/22/2008
SGC LN Equity,FTSE ALL SHARES,09/22/2008
AU/ LN Equity,FTSE ALL SHARES,09/22/2008
1655637D LN Equity,FTSE ALL SHARES,12/22/2008
SRP LN Equity,FTSE ALL SHARES,12/22/2008
1837977D LN Equity,FTSE ALL SHARES,12/22/2008
RRS LN Equity,FTSE ALL SHARES,12/22/2008
TCG LN Equity,FTSE ALL SHARES,12/22/2008
ITRK LN Equity,FTSE ALL SHARES,03/23/2009
LMI LN Equity,FTSE ALL SHARES,03/23/2009
FCIT LN Equity,FTSE ALL SHARES,03/23/2009
PFC LN Equity,FTSE ALL SHARES,03/23/2009
LSEG LN Equity,FTSE ALL SHARES,06/22/2009
III LN Equity,FTSE ALL SHARES,06/22/2009
WTB LN Equity,FTSE ALL SHARES,09/21/2009
SGRO LN Equity,FTSE ALL SHARES,09/21/2009
RTO LN Equity,FTSE ALL SHARES,09/21/2009
AGK LN Equity,FTSE ALL SHARES,12/21/2009
INVP LN Equity,FTSE ALL SHARES,03/22/2010
WEIR LN Equity,FTSE ALL SHARES,09/20/2010
IMI LN Equity,FTSE ALL SHARES,12/20/2010
ITV LN Equity,FTSE ALL SHARES,03/21/2011
HL/ LN Equity,FTSE ALL SHARES,03/21/2011
WG/ LN Equity,FTSE ALL SHARES,03/21/2011
TCG LN Equity,FTSE ALL SHARES,06/20/2011
ASHM LN Equity,FTSE ALL SHARES,09/19/2011
BNZL LN Equity,FTSE ALL SHARES,09/19/2011
MGGT LN Equity,FTSE ALL SHARES,10/07/2011
CRH LN Equity,FTSE ALL SHARES,12/19/2011
CRDA LN Equity,FTSE ALL SHARES,03/19/2012
ADN LN Equity,FTSE ALL SHARES,03/19/2012
BAB LN Equity,FTSE ALL SHARES,06/18/2012
PNN LN Equity,FTSE ALL SHARES,06/29/2012
WG/ LN Equity,FTSE ALL SHARES,09/24/2012
MRO LN Equity,FTSE ALL SHARES,09/24/2012
TT/ LN Equity,FTSE ALL SHARES,12/24/2012
LSEG LN Equity,FTSE ALL SHARES,03/18/2013
EZJ LN Equity,FTSE ALL SHARES,03/18/2013
TPK LN Equity,FTSE ALL SHARES,06/24/2013
PSN LN Equity,FTSE ALL SHARES,06/24/2013
FRAS LN Equity,FTSE ALL SHARES,09/23/2013
MNDI LN Equity,FTSE ALL SHARES,09/23/2013
AHT LN Equity,FTSE ALL SHARES,12/23/2013
BDEV LN Equity,FTSE ALL SHARES,03/24/2014
STJ LN Equity,FTSE ALL SHARES,03/24/2014
INTU LN Equity,FTSE ALL SHARES,06/23/2014
III LN Equity,FTSE ALL SHARES,06/23/2014
CURY LN Equity,FTSE ALL SHARES,09/22/2014
DLG LN Equity,FTSE ALL SHARES,09/22/2014
BDEV LN Equity,FTSE ALL SHARES,12/22/2014
TW/ LN Equity,FTSE ALL SHARES,12/22/2014
HIK LN Equity,FTSE ALL SHARES,03/20/2015
MERL LN Equity,FTSE ALL SHARES,04/13/2015
ISAT LN Equity,FTSE ALL SHARES,06/22/2015
BKG LN Equity,FTSE ALL SHARES,09/21/2015
DCC LN Equity,FTSE ALL SHARES,12/21/2015
VANQ LN Equity,FTSE ALL SHARES,12/21/2015
