security_ticker,market_ticker,event_date
WTB LN Equity,FTSE ALL SHARES,03/20/00
SCTN LN Equity,FTSE ALL SHARES,03/20/00
SCTN LN Equity,FTSE ALL SHARES,06/19/00
SCTN LN Equity,FTSE ALL SHARES,09/18/00
SPT LN Equity,FTSE ALL SHARES,09/18/00
SEM LN Equity,FTSE ALL SHARES,12/18/00
SCTN LN Equity,FTSE ALL SHARES,03/19/01
SPT LN Equity,FTSE ALL SHARES,09/24/01
8179618Q LN Equity,FTSE ALL SHARES,09/23/02
WTB LN Equity,FTSE ALL SHARES,12/23/02
BI/ LN Equity,FTSE ALL SHARES,12/23/02
8179618Q LN Equity,FTSE ALL SHARES,03/24/03
ISYS LN Equity,FTSE ALL SHARES,03/24/03
CPI LN Equity,FTSE ALL SHARES,06/23/03
ATST LN Equity,FTSE ALL SHARES,06/23/03
WMH LN Equity,FTSE ALL SHARES,04/08/04
TATE LN Equity,FTSE ALL SHARES,12/20/04
CNE LN Equity,FTSE ALL SHARES,03/21/05
HAS LN Equity,FTSE ALL SHARES,09/19/05
WMH LN Equity,FTSE ALL SHARES,12/19/05
WTB LN Equity,FTSE ALL SHARES,12/19/05
PSN LN Equity,FTSE ALL SHARES,12/19/05
VED LN Equity,FTSE ALL SHARES,06/19/06
SDR LN Equity,FTSE ALL SHARES,09/18/06
WTB LN Equity,FTSE ALL SHARES,12/18/06
CNE LN Equity,FTSE ALL SHARES,03/19/07
SDR LN Equity,FTSE ALL SHARES,03/30/07
DRX LN Equity,FTSE ALL SHARES,09/24/07
TATE LN Equity,FTSE ALL SHARES,12/24/07
WG/ LN Equity,FTSE ALL SHARES,04/28/08
AL/ LN Equity,FTSE ALL SHARES,06/23/08
TATE LN Equity,FTSE ALL SHARES,06/23/08
1837977D LN Equity,FTSE ALL SHARES,06/23/08
PSN LN Equity,FTSE ALL SHARES,06/23/08
WG/ LN Equity,FTSE ALL SHARES,12/22/08
SRP LN Equity,FTSE ALL SHARES,12/22/08
LMI LN Equity,FTSE ALL SHARES,12/22/08
PFC LN Equity,FTSE ALL SHARES,12/22/08
