,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity
1/4/1999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/5/1999,-0.011236840,0.040385044,-0.011236840,-0.002324230,-0.004777155,0.000000000,0.049267166,0.036143432,0.009191161,0.075000000,0.000000000,0.128205844,0.032661376,0.309375000,0.005490651,-0.046575604,0.095551559,-0.004592453,0.012244847,0.013291904,0.000000000,0.009222661,-0.009934154,0.101587302,-0.063063063,-0.193548387,0.004371217,-0.048661800,-0.009695291,-0.005252103,0.014872568,0.006060606,-0.018965517,-0.009886938,0.007537688,-0.072619048,0.000000000,-0.017418735,0.001320365,0.000000000,-0.010084034,0.000000000,0.378787879,-0.015764912,-0.004081633,0.166666667,-0.051282051,-0.002350781,0.007614029,0.000000000,0.309999321,-0.039813707,0.039436620,0.004878049,0.031561861,0.133722544,-0.041273585,0.000000000,-0.007272727,-0.022255193,-0.063333333,0.019927536,0.192308210,0.007744434,0.010094637,-0.051305282,0.007744434,0.010094637,-0.051305282
1/6/1999,-0.001263486,0.016634916,-0.001263486,0.025043681,0.029599943,-0.046739130,0.054659328,0.033826299,-0.024590948,0.046511628,0.008334443,-0.018182332,0.030872731,0.019093079,-0.005460668,-0.045978674,0.002031777,0.004613641,-0.006047490,0.029471891,-0.041947710,0.028720627,-0.003490401,0.007204611,0.019230769,0.230000000,0.026148397,0.079283887,-0.048951049,-0.003167975,0.032757819,0.042168675,-0.008787346,0.027104050,0.024937656,0.003851091,0.000000000,-0.002946833,0.004406293,0.000000000,0.127334465,0.002201086,0.043956044,-0.005821104,-0.015027322,-0.019047619,0.008108108,0.000000000,0.105287749,-0.027506591,-0.026716948,0.038009701,-0.078590786,-0.004854369,0.044031594,-0.035894404,0.043050431,0.056003549,0.003663004,0.061456753,0.014234875,0.026642984,0.000000000,0.066282421,0.028732042,0.025560601,0.066282421,0.028732042,0.025560601
1/7/1999,-0.008848751,0.036365866,-0.008848751,-0.004545455,-0.033410637,0.060433295,-0.009969408,-0.005622317,0.005602236,0.088888889,0.000000000,0.009261326,0.013878320,0.007025761,0.000000000,-0.036143881,-0.008098267,0.000000000,-0.006086040,-0.012907496,-0.043801126,-0.002538071,-0.006130314,-0.010014306,0.015094340,-0.009214092,0.002120645,0.047393365,-0.011029412,-0.042372904,0.010017603,0.017341040,-0.007092199,0.072222262,-0.036496350,0.012787724,0.000000000,0.000000000,0.019738082,0.000000000,0.007530120,0.019779576,0.029473684,-0.001463797,0.027739251,-0.016181230,0.005361930,-0.016507578,0.052417224,-0.022810079,0.000000000,0.031290709,0.038235294,0.015853659,0.026445807,-0.029791331,0.043632075,0.075753120,0.054744526,0.012151537,-0.015789474,0.072664360,-0.003226209,-0.025225225,-0.057073467,0.013420368,-0.025225225,-0.057073467,0.013420368
1/8/1999,0.051020643,0.071928534,0.051020643,0.009703196,0.009646030,-0.013978495,0.000000000,0.009766861,0.024141112,0.078717201,0.000000000,-0.027525456,-0.037463139,-0.018604651,-0.021981311,0.003126368,-0.015306663,0.000000000,0.000000000,0.012573345,0.045807549,0.011450382,-0.005286347,-0.002890173,-0.000929368,-0.012035011,0.002124725,0.074660633,0.026022305,-0.006637329,0.023967299,-0.002840909,0.003571429,0.062176101,0.000000000,-0.032828283,0.000000000,-0.007404412,0.008604097,0.005290131,0.002989537,0.021552849,-0.028629857,0.048385571,-0.010796221,0.003289474,-0.013333333,-0.004796261,0.030746711,0.016806642,0.007842748,0.022595433,0.059490085,0.020408163,0.004178276,0.015350585,-0.016949153,0.035209342,0.027681661,0.052259887,-0.015151515,0.040645161,-0.028478564,0.037892791,0.036703155,-0.008513130,0.037892791,0.036703155,-0.008513130
1/11/1999,-0.008496550,0.004908555,-0.008496550,-0.011305822,0.015923559,0.007633588,0.006725316,0.018329613,-0.016772015,0.054054054,0.005512063,0.037736957,-0.027694960,-0.026066351,-0.033703459,0.042055888,0.015544599,0.000000000,-0.004081027,-0.010761589,0.051092933,-0.008805031,-0.002656495,0.019565217,0.002790698,0.018826135,-0.019030683,0.027368421,0.020289855,-0.014476704,0.008069993,0.002849003,-0.001779359,-0.021219343,-0.002525253,0.026109661,0.000000000,-0.001504466,0.004259030,0.005262292,0.013412817,0.000000000,0.010526316,0.007000451,-0.004092769,0.001639344,-0.036486486,0.002407417,0.024789889,0.000000000,0.003891573,-0.017676551,0.044786096,0.001764706,0.004160891,-0.030237014,-0.014942529,0.000000000,0.035353535,-0.008724832,-0.011764706,-0.011159330,-0.007328779,0.028495102,0.000000000,0.018135562,0.028495102,0.000000000,0.018135562
1/12/1999,0.002449650,-0.026056809,0.002449650,-0.018867925,0.025078529,-0.009740260,-0.003340194,0.004002076,-0.009681452,0.094871795,0.002738397,-0.004546467,-0.038490796,0.007299270,-0.011629633,0.016442787,-0.008164385,0.000000000,0.000000000,-0.004184100,-0.048609339,-0.005076142,-0.003108712,-0.009239517,0.011131725,0.000000000,0.023705150,-0.018442623,0.024147727,-0.014688956,-0.009606815,0.008522727,-0.005347594,-0.004485417,0.000000000,0.002544529,0.000000000,-0.004473114,0.006374036,0.042041551,-0.033823529,0.000000000,0.046875000,0.006942827,-0.006849315,-0.000818331,-0.004207574,0.000000000,-0.044687549,0.008264424,0.000000000,-0.013496456,-0.004478567,-0.015854375,-0.005524077,0.013363487,0.024504084,0.000000000,0.022764228,-0.034529452,-0.004578755,0.037617555,-0.036912671,-0.004329004,-0.015527950,0.002811094,-0.004329004,-0.015527950,0.002811094
1/13/1999,-0.063493426,0.020064568,-0.063493426,-0.013986014,-0.022935764,0.010928962,-0.016720712,-0.029881498,0.029795108,-0.025761124,-0.002730919,0.013698144,0.001600693,0.007246377,0.000000000,0.007352110,-0.011316866,0.000000000,0.004097750,-0.025210084,-0.043801126,-0.034438776,-0.000891599,-0.007173601,-0.001834862,0.005434783,-0.014736555,-0.118997912,-0.031900139,-0.042431132,-0.010510239,-0.019718310,-0.001792115,-0.103629720,0.005063291,0.012690355,0.000000000,-0.021031389,0.018982237,0.000000000,-0.035768645,-0.031645590,-0.008955224,0.020684869,0.008275862,-0.017199017,0.008450704,-0.012017237,-0.044205958,-0.006375165,0.019379591,0.010423326,-0.039845758,-0.001193317,0.016666667,0.005497578,-0.039863326,-0.020401426,-0.001589825,-0.039971950,0.003679853,0.010574018,0.008362195,-0.032173913,0.011987382,-0.034581876,-0.032173913,0.011987382,-0.034581876
1/14/1999,-0.001302319,-0.006557785,-0.001302319,0.005319149,0.010172180,-0.009189189,-0.005434983,-0.022586577,0.003616631,-0.072115385,0.000000000,-0.009007526,0.027178505,-0.004796163,-0.029411176,0.010219435,-0.001042315,0.000000000,0.002042280,-0.007758621,0.007625826,0.000000000,-0.002674262,0.001445087,0.016544118,-0.011351351,0.019234093,-0.047393365,-0.040114613,-0.046706862,-0.011437168,-0.011494253,-0.005385996,-0.048589733,0.015113350,0.020050125,0.000000000,-0.026072953,0.006215677,0.000000000,-0.041831097,-0.011980709,0.002008032,-0.009457316,0.019151847,0.000833333,-0.009078212,-0.002435433,0.043107073,-0.019248502,0.000000000,0.030303147,-0.046854083,-0.010752688,-0.016393443,-0.060113189,0.005931198,-0.010417971,0.006369427,0.012417823,0.011915674,0.047832586,-0.018659212,-0.046720575,0.003117207,0.011614509,-0.046720575,0.003117207,0.011614509
1/15/1999,-0.026110945,-0.009898132,-0.026110945,0.016460905,-0.035631353,0.009274414,-0.001370802,-0.002101927,0.018017989,-0.108808290,-0.002743450,0.045454063,0.003111699,-0.009638554,-0.084850861,0.028901122,0.034375040,0.000000000,0.008145419,0.000868810,-0.022721737,0.006605020,0.000000000,-0.001443001,0.022603978,-0.002733734,-0.018871124,-0.039800995,0.002985075,0.025125646,0.038016351,-0.008720930,0.005415162,-0.050484127,-0.037220844,0.019656020,0.000000000,-0.018900060,0.000000000,0.020251177,-0.011532125,-0.007718966,0.076152305,-0.013639444,0.032214765,0.000832639,-0.013389711,-0.017071264,0.018077331,0.017757094,0.000000000,0.039424269,-0.028089888,0.000000000,0.020138095,-0.032557531,0.002358491,-0.010527647,0.012658228,-0.005772006,-0.007246377,0.025677603,-0.009154842,0.057492931,-0.023617154,-0.013394688,0.057492931,-0.023617154,-0.013394688
