security_ticker,market_ticker,event_date
599187Q LN Equity,FTSE ALL SHARES,3/20/2000
ABF LN Equity,FTSE ALL SHARES,3/20/2000
ALLD LN Equity,FTSE ALL SHARES,3/20/2000
NWG LN Equity,FTSE ALL SHARES,3/20/2000
WTB LN Equity,FTSE ALL SHARES,3/20/2000
SCTN LN Equity,FTSE ALL SHARES,3/20/2000
HNS LN Equity,FTSE ALL SHARES,3/20/2000
CWC LN Equity,FTSE ALL SHARES,5/12/2000
KCOM LN Equity,FTSE ALL SHARES,6/19/2000
PON LN Equity,FTSE ALL SHARES,6/19/2000
THUS LN Equity,FTSE ALL SHARES,6/19/2000
BLM LN Equity,FTSE ALL SHARES,6/19/2000
1295Q LN Equity,FTSE ALL SHARES,7/27/2000
CPG LN Equity,FTSE ALL SHARES,7/27/2000
CS/ LN Equity,FTSE ALL SHARES,9/18/2000
HNS LN Equity,FTSE ALL SHARES,9/18/2000
RR/ LN Equity,FTSE ALL SHARES,9/18/2000
ABF LN Equity,FTSE ALL SHARES,9/18/2000
SCTN LN Equity,FTSE ALL SHARES,9/18/2000
CCL LN Equity,FTSE ALL SHARES,10/23/2000
539988Q LN Equity,FTSE ALL SHARES,10/23/2000
3694795Q LN Equity,FTSE ALL SHARES,10/26/2000
3080663Z LN Equity,FTSE ALL SHARES,12/18/2000
1967070Z LN Equity,FTSE ALL SHARES,12/18/2000
SEM LN Equity,FTSE ALL SHARES,12/18/2000
BHM LN Equity,FTSE ALL SHARES,12/18/2000
BLM LN Equity,FTSE ALL SHARES,12/18/2000
GLXO LN Equity,FTSE ALL SHARES,12/27/2000
GAA LN Equity,FTSE ALL SHARES,2/2/2001
652308Q LN Equity,FTSE ALL SHARES,2/2/2001
AU/ LN Equity,FTSE ALL SHARES,3/19/2001
EXL LN Equity,FTSE ALL SHARES,3/19/2001
SEM LN Equity,FTSE ALL SHARES,4/10/2001
2309Z LN Equity,FTSE ALL SHARES,6/18/2001
1676348D LN Equity,FTSE ALL SHARES,7/12/2001
280172Q LN Equity,FTSE ALL SHARES,9/24/2001
COLT LN Equity,FTSE ALL SHARES,9/24/2001
TLNT LN Equity,FTSE ALL SHARES,9/24/2001
SPT LN Equity,FTSE ALL SHARES,9/24/2001
GKN LN Equity,FTSE ALL SHARES,12/24/2001
1942553D LN Equity,FTSE ALL SHARES,5/10/2002
504644Q LN Equity,FTSE ALL SHARES,5/29/2002
RS1 LN Equity,FTSE ALL SHARES,6/24/2002
EMI LN Equity,FTSE ALL SHARES,9/23/2002
IPR LN Equity,FTSE ALL SHARES,9/23/2002
8179618Q LN Equity,FTSE ALL SHARES,9/23/2002
CW/ LN Equity,FTSE ALL SHARES,12/23/2002
BI/ LN Equity,FTSE ALL SHARES,12/23/2002
CS/ LN Equity,FTSE ALL SHARES,12/23/2002
ISYS LN Equity,FTSE ALL SHARES,3/24/2003
