security_ticker,market_ticker,event_date
WTB LN Equity,FTSE ALL SHARES,03/20/00
SCTN LN Equity,FTSE ALL SHARES,03/20/00
SCTN LN Equity,FTSE ALL SHARES,09/18/00
SEM LN Equity,FTSE ALL SHARES,12/18/00
SPT LN Equity,FTSE ALL SHARES,09/24/01
8179618Q LN Equity,FTSE ALL SHARES,09/23/02
BI/ LN Equity,FTSE ALL SHARES,12/23/02
ISYS LN Equity,FTSE ALL SHARES,03/24/03
8179618Q LN Equity,FTSE ALL SHARES,03/24/03
ATST LN Equity,FTSE ALL SHARES,06/23/03
CPI LN Equity,FTSE ALL SHARES,06/23/03
CNE LN Equity,FTSE ALL SHARES,03/21/05
HAS LN Equity,FTSE ALL SHARES,09/19/05
WMH LN Equity,FTSE ALL SHARES,12/19/05
WTB LN Equity,FTSE ALL SHARES,12/19/05
SDR LN Equity,FTSE ALL SHARES,09/18/06
CNE LN Equity,FTSE ALL SHARES,03/19/07
DRX LN Equity,FTSE ALL SHARES,09/24/07
TATE LN Equity,FTSE ALL SHARES,12/24/07
AL/ LN Equity,FTSE ALL SHARES,06/23/08
TATE LN Equity,FTSE ALL SHARES,06/23/08
PSN LN Equity,FTSE ALL SHARES,06/23/08
1837977D LN Equity,FTSE ALL SHARES,06/23/08
LMI LN Equity,FTSE ALL SHARES,12/22/08
WG/ LN Equity,FTSE ALL SHARES,12/22/08
PFC LN Equity,FTSE ALL SHARES,12/22/08
III LN Equity,FTSE ALL SHARES,03/23/09
LSEG LN Equity,FTSE ALL SHARES,03/23/09
TATE LN Equity,FTSE ALL SHARES,03/23/09
1655637D LN Equity,FTSE ALL SHARES,06/22/09
DRX LN Equity,FTSE ALL SHARES,06/22/09
WTB LN Equity,FTSE ALL SHARES,06/22/09
BBY LN Equity,FTSE ALL SHARES,09/21/09
FCIT LN Equity,FTSE ALL SHARES,09/21/09
PNN LN Equity,FTSE ALL SHARES,09/21/09
LSEG LN Equity,FTSE ALL SHARES,06/21/10
1837977D LN Equity,FTSE ALL SHARES,09/20/10
COB LN Equity,FTSE ALL SHARES,12/20/10
ATST LN Equity,FTSE ALL SHARES,03/21/11
ISYS LN Equity,FTSE ALL SHARES,05/25/11
III LN Equity,FTSE ALL SHARES,09/19/11
WG/ LN Equity,FTSE ALL SHARES,09/19/11
LMI LN Equity,FTSE ALL SHARES,12/19/11
ESSR LN Equity,FTSE ALL SHARES,03/19/12
CNE LN Equity,FTSE ALL SHARES,03/19/12
EMG LN Equity,FTSE ALL SHARES,06/18/12
IAP LN Equity,FTSE ALL SHARES,09/24/12
PNN LN Equity,FTSE ALL SHARES,12/24/12
INTU LN Equity,FTSE ALL SHARES,03/18/13
POLY LN Equity,FTSE ALL SHARES,06/24/13
EVR LN Equity,FTSE ALL SHARES,06/24/13
WG/ LN Equity,FTSE ALL SHARES,09/23/13
SRP LN Equity,FTSE ALL SHARES,09/23/13
CRDA LN Equity,FTSE ALL SHARES,12/23/13
VED LN Equity,FTSE ALL SHARES,12/23/13
TATE LN Equity,FTSE ALL SHARES,03/24/14
MRO LN Equity,FTSE ALL SHARES,06/23/14
WMH LN Equity,FTSE ALL SHARES,06/23/14
PFC LN Equity,FTSE ALL SHARES,12/22/14
AGK LN Equity,FTSE ALL SHARES,06/22/15
WEIR LN Equity,FTSE ALL SHARES,09/21/15
MGGT LN Equity,FTSE ALL SHARES,12/21/15
MRW LN Equity,FTSE ALL SHARES,12/21/15
FRAS LN Equity,FTSE ALL SHARES,03/21/16
HIK LN Equity,FTSE ALL SHARES,03/21/16
ADN LN Equity,FTSE ALL SHARES,03/21/16
BKG LN Equity,FTSE ALL SHARES,09/19/16
POLY LN Equity,FTSE ALL SHARES,12/19/16
CURY LN Equity,FTSE ALL SHARES,03/20/17
HIK LN Equity,FTSE ALL SHARES,06/19/17
INTU LN Equity,FTSE ALL SHARES,06/19/17
IDS LN Equity,FTSE ALL SHARES,09/18/17
MERL LN Equity,FTSE ALL SHARES,12/18/17
IDS LN Equity,FTSE ALL SHARES,12/24/18
HIK LN Equity,FTSE ALL SHARES,06/24/19
MCRO LN Equity,FTSE ALL SHARES,09/23/19
FRES LN Equity,FTSE ALL SHARES,12/23/19
KGF LN Equity,FTSE ALL SHARES,03/23/20
TUI LN Equity,FTSE ALL SHARES,03/23/20
MGGT LN Equity,FTSE ALL SHARES,06/22/20
CNA LN Equity,FTSE ALL SHARES,06/22/20
PNN LN Equity,FTSE ALL SHARES,03/22/21
MRW LN Equity,FTSE ALL SHARES,03/22/21
WEIR LN Equity,FTSE ALL SHARES,09/20/21
JMAT LN Equity,FTSE ALL SHARES,12/20/21
POLY LN Equity,FTSE ALL SHARES,03/21/22
IDS LN Equity,FTSE ALL SHARES,06/20/22
HIK LN Equity,FTSE ALL SHARES,09/19/22
BLND LN Equity,FTSE ALL SHARES,06/19/23
PSN LN Equity,FTSE ALL SHARES,09/18/23
JMAT LN Equity,FTSE ALL SHARES,09/18/23
HL/ LN Equity,FTSE ALL SHARES,12/18/23
PNN LN Equity,FTSE ALL SHARES,06/29/12
PNN LN Equity,FTSE ALL SHARES,03/23/20
POLY LN Equity,FTSE ALL SHARES,09/19/16
POLY LN Equity,FTSE ALL SHARES,09/23/19
PSN LN Equity,FTSE ALL SHARES,12/19/05
PSN LN Equity,FTSE ALL SHARES,06/24/13
SCTN LN Equity,FTSE ALL SHARES,06/19/00
SCTN LN Equity,FTSE ALL SHARES,03/19/01
SDR LN Equity,FTSE ALL SHARES,03/30/07
SPT LN Equity,FTSE ALL SHARES,09/18/00
SRP LN Equity,FTSE ALL SHARES,12/22/08
TATE LN Equity,FTSE ALL SHARES,12/20/04
VED LN Equity,FTSE ALL SHARES,06/19/06
WEIR LN Equity,FTSE ALL SHARES,09/20/10
WEIR LN Equity,FTSE ALL SHARES,03/22/21
WEIR LN Equity,FTSE ALL SHARES,12/19/22
WG/ LN Equity,FTSE ALL SHARES,04/28/08
WG/ LN Equity,FTSE ALL SHARES,03/21/11
WG/ LN Equity,FTSE ALL SHARES,09/24/12
WG/ LN Equity,FTSE ALL SHARES,10/12/18
WMH LN Equity,FTSE ALL SHARES,04/08/04
WTB LN Equity,FTSE ALL SHARES,12/23/02
WTB LN Equity,FTSE ALL SHARES,12/18/06
WTB LN Equity,FTSE ALL SHARES,09/21/09
