,date,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity.1,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity.1,8179618Q LN Equity.1,CPI LN Equity.1,FTSE ALL SHARES,,
0,1/25/1999,409.311,,409.311,803,2296.099,,55.016,358.564,,,199.01,,462.139,,106.284,,,109.655,,283.5,55.737,191.75,669.413,,,,118.7,,,2244.453,580.468,163,,,192.5,,46.2,57.619,163.988,67.24,650,277.396,,107.44,,,,201.586,246.699,,,1104.689,,,455.583,,398,97.007,150.25,705,,,,185.3,350.5,109.325,185.3,350.5,109.325,2672.99,,
1,1/26/1999,433.16,,433.16,799.5,2347.124,,55.57,354.628,,,200.095,,459.006,,104.038,,,109.655,,286,54.43,192.75,666.055,,,,121.42,,,2258.516,575.868,160.5,,,192.5,,46.2,57.81,164.663,69.82,662,276.405,,106.974,,,,205.829,248.717,,,1108.706,,,462.292,,394,100.252,150,696,,,,182.41,352.5,112.581,182.41,352.5,112.581,2676.66,,
2,1/27/1999,448.69,,448.69,787,2379.925,,58.524,358.771,,,200.095,,491.904,,103.29,,,108.63,,289.25,53.124,194,666.055,,,,118.452,,,2311.956,575.868,162,,,200.5,,46.2,59.238,165.337,69.82,634,277.396,,107.75,,,,211.134,266.098,,,1116.74,,,460.833,,395,103.859,150.25,706.5,,,,181.05,355.25,114.681,181.05,355.25,114.681,2677.42,,
3,1/28/1999,448.69,,448.69,756.5,2421.838,,60.924,367.057,,,203.891,,508.353,,103.29,,,108.63,,291.5,51.382,195.25,662.392,,,,121.667,,,2286.642,571.269,168,,,202,,46.2,59.714,165.675,69.82,640.5,280.038,,112.091,,,,230.762,261.837,,,1138.164,,,458.5,,427.5,108.547,152.25,706,,,,180.03,358,112.686,180.03,358,112.686,2681.14,,
4,1/29/1999,464.219,,464.219,755,2471.04,,62.586,365.4,,,209.313,,489.163,,113.02,,,108.63,,293.6,50.947,196.25,650.793,,,,127.355,,,2306.331,574.028,182,,,206.5,,47.2,59.524,165.675,69.82,681,280.038,,113.641,,,,237.128,268.117,,,1164.945,,,460.833,,441.5,107.465,153.75,709.5,,,,177.48,353.75,118.672,177.48,353.75,118.672,2695.94,,
5,2/1/1999,490.286,,490.286,778,2434.594,,62.955,381.143,,,209.856,,489.554,,116.014,,,108.63,,299.25,55.301,198.5,650.487,,,,124.387,,,2581.965,574.488,194.5,,,232,,48,59.524,177.822,69.5,743,280.038,,121.858,,,,257.287,267.332,,,1209.132,,,470.167,,492.5,107.825,155.5,729.5,,,,184.96,365.25,128.229,184.96,365.25,128.229,2747.92,,
6,2/2/1999,520.79,,520.79,792.5,2478.329,,68.678,408.486,,,211.482,,497.387,,127.241,,,108.63,,296.25,64.446,198,650.487,,,,122.162,,,2700.094,574.488,199.5,,,294.5,,48,59.905,177.822,70.46,775.5,281.028,,129.765,,,,260.47,268.117,,,1203.106,,,472.5,,503.5,123.332,159,748.5,,,,195.16,358.5,132.324,195.16,358.5,132.324,2756.48,,
7,2/3/1999,520.236,,520.236,776,2516.598,,67.755,405.586,,,211.482,,501.304,,130.983,,,108.63,,297,67.929,198,647.13,,,,120.925,,,2812.598,567.129,198.5,,,304,,49.3,59.143,189.969,71.43,761,284.661,,129.765,,,,260.47,264.304,,,1217.836,,,477.167,,499.5,119.365,159,749,,,,191.08,374.5,132.85,191.08,374.5,132.85,2730.31,,
8,2/4/1999,526.337,,526.337,775,2489.263,,67.755,402.686,,,211.482,,521.669,,131.732,,,108.63,,296.25,71.848,196.5,648.045,,,,117.71,,,2851.975,571.269,204.5,,,307,,49.5,57.524,196.718,74.64,720,287.963,,131.315,,,,272.14,264.753,,,1222.522,,,501.375,,505.5,122.25,158.75,735,,,,194.65,391.75,132.85,194.65,391.75,132.85,2732.82,,
9,2/5/1999,527.446,,527.446,758,2514.775,,66.463,401.857,,,211.482,,524.802,,131.732,,,108.63,,294.25,73.154,195,646.519,,,,116.969,,,2798.535,574.488,206.5,,,281,,50,57.81,197.73,77.22,720.5,309.429,,130.85,,,,268.427,250.063,,,1217.836,,,525,,507.5,125.496,158.75,729,,,,193.63,392.25,132.639,193.63,392.25,132.639,2700.41,,
