date,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity.1,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity.1,8179618Q LN Equity.1,CPI LN Equity.1,FTSE ALL SHARES
1/1/1999,307054,,#N/A Invalid Security,421760.0,6684.0,,20312.0,224625,,,3549.0,,727607,,173079,,,19516.0,,10000,778939,211506,3070,,,,612364,,,138878.0,287442,182959,,,161865,,322405.0,882525,36979,389.0,853791.0,147.0,,99522,,,,25165.0,849072,,,142871,,,279795,,51172,11017.0,155924.0,111590.0,,,,956553,1553248.0,656803,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,
1/4/1999,254162,,,1096204.0,70892.0,,1059900.0,1058722,,,38907.0,,2078792,,77575,,,21034.0,,10000,3019817,977780,177736,,,,15149432,,,682920.0,601236,1410174,,,114667,,805775.0,1548923,6905006,3108.0,661406.0,162631.0,,246192,,,,132892.0,4240220,,,1857555,,,358786,,164083,1433612.0,616340.0,684721.0,,,,1937224,2304123.0,8083051,,,,
1/5/1999,326064,,,1736564.0,31032.0,,11216084.0,3488943,,,116000.0,,4028644,,60793,,,21034.0,,10000,1388837,1180259,748474,,,,8486337,,,1093270.0,1231039,152428,,,359548,,2828040.0,1201405,99260,8034.0,1269000.0,1274620.0,,801316,,,,137609.0,4023044,,,1862335,,,1813876,,488259,271708.0,3440140.0,2238730.0,,,,3341072,2789087.0,5772896,,,,
1/6/1999,629772,,,863525.0,80150.0,,8314632.0,3643177,,,740016.0,,3189304,,332678,,,154.0,,10000,1245796,1511210,872638,,,,14500429,,,391578.0,1638327,194208,,,735647,,5626830.0,162398,1998491,68378.0,838709.0,623826.0,,1865018,,,,5990.0,3548018,,,862031,,,1486519,,270787,4425267.0,2406246.0,1429640.0,,,,13718705,4619845.0,7390288,,,,
1/7/1999,711356,,,2494913.0,418269.0,,5638943.0,709692,,,24644.0,,3328634,,14892,,,27331.0,,73440,3705242,1575164,2034976,,,,28188920,,,558166.0,2395979,792717,,,1037030,,2726470.0,615059,1236770,36816.0,2268915.0,259819.0,,2180468,,,,148459.0,6992074,,,455037,,,925150,,846371,2893027.0,4050446.0,16387025.0,,,,2044407,5097876.0,3988345,,,,
1/8/1999,1556086,,,3509327.0,43280.0,,3533145.0,3184527,,,16679.0,,8763904,,319687,,,27331.0,,40000,658433,823119,383517,,,,5851915,,,346663.0,1855779,142205,,,97464,,1865380.0,5748855,80411,248298.0,2240867.0,342336.0,,1405801,,,,20430.0,5868480,,,834606,,,932753,,246797,659356.0,6731332.0,1891828.0,,,,12045269,4747696.0,5488139,,,,
1/11/1999,647256,,,660870.0,32962.0,,13089863.0,1395031,,,19945.0,,4834121,,552359,,,10810.0,,73000,2287944,683273,1396091,,,,8403914,,,511387.0,3650187,39150,,,183408,,880620.0,9075029,181589,60608.0,390209.0,45576.0,,3721667,,,,20240.0,5902548,,,501352,,,1410534,,183021,794939.0,5592220.0,3221151.0,,,,7041344,3717422.0,2010981,,,,
1/12/1999,1082048,,,898224.0,30421.0,,725414.0,1969196,,,23597.0,,9041765,,964155,,,154397.0,,73000,1004098,1219417,697073,,,,6678931,,,867114.0,2457693,339555,,,337691,,5923240.0,359263,298438,227175.0,919932.0,129857.0,,2849641,,,,252196.0,5556602,,,2795792,,,2138825,,1044007,880038.0,1308530.0,3404395.0,,,,1260842,5041659.0,1007952,,,,
1/13/1999,1085719,,,1774694.0,86024.0,,1148664.0,3411903,,,11679.0,,7901183,,77423,,,147758.0,,73000,2016618,1132171,686801,,,,9722904,,,1203241.0,3249406,204616,,,642427,,1330905.0,2495330,168127,325823.0,1108027.0,118988.0,,8164614,,,,74061.0,3254956,,,2450456,,,2537643,,329579,1210456.0,1499468.0,913340.0,,,,3856490,13130249.0,1191618,,,,
1/14/1999,1082332,,,3907757.0,19604.0,,5024827.0,1834893,,,217046.0,,6448763,,416617,,,16297.0,,130000,1639464,2896059,198298,,,,11055417,,,4017142.0,2328013,949419,,,790491,,884320.0,4564943,2619625,11133.0,1193983.0,199821.0,,3866921,,,,14619.0,4922206,,,646202,,,394691,,1319887,525038.0,1198158.0,3607907.0,,,,1248471,6000311.0,7703035,,,,
1/15/1999,1636394,,,616759.0,52908.0,,2096820.0,2636666,,,160703.0,,3838937,,781766,,,73184.0,,160000,351969,720496,406298,,,,7404342,,,1744551.0,699686,133111,,,320433,,2164205.0,5816108,3141099,11133.0,1204084.0,168032.0,,420768,,,,247791.0,2257280,,,717204,,,549017,,124786,516620.0,10877578.0,1685265.0,,,,1595877,2393413.0,246545,,,,
1/18/1999,692754,,,954501.0,65627.0,,1145428.0,1691830,,,357213.0,,2140645,,226632,,,318613.0,,300000,1754471,2552892,822512,,,,13858475,,,1320835.0,647710,2128200,,,815563,,519640.0,4440251,199719,428467.0,764747.0,195794.0,,1975835,,,,16258.0,4849092,,,727295,,,1798367,,354952,87838.0,9284768.0,1029039.0,,,,3047213,3331259.0,1683727,,,,
1/19/1999,595539,,,879199.0,38291.0,,2102332.0,2137114,,,91907.0,,2197402,,536920,,,124608.0,,30000,1385852,1101689,55235,,,,9583366,,,2687542.0,1736561,27976,,,251015,,356615.0,1235241,5269138,72250.0,1149494.0,206743.0,,719622,,,,111331.0,1515114,,,676440,,,3530882,,301717,1483066.0,3326340.0,2941631.0,,,,1025524,1764983.0,1990399,,,,
