security_ticker,market_ticker,event_date
AGK LN Equity,FTSE ALL SHARES,06/22/15
WEIR LN Equity,FTSE ALL SHARES,09/21/15
MRW LN Equity,FTSE ALL SHARES,12/21/15
MGGT LN Equity,FTSE ALL SHARES,12/21/15
HIK LN Equity,FTSE ALL SHARES,03/21/16
ADN LN Equity,FTSE ALL SHARES,03/21/16
FRAS LN Equity,FTSE ALL SHARES,03/21/16
POLY LN Equity,FTSE ALL SHARES,09/19/16
BKG LN Equity,FTSE ALL SHARES,09/19/16
POLY LN Equity,FTSE ALL SHARES,12/19/16
CURY LN Equity,FTSE ALL SHARES,03/20/17
HIK LN Equity,FTSE ALL SHARES,06/19/17
INTU LN Equity,FTSE ALL SHARES,06/19/17
IDS LN Equity,FTSE ALL SHARES,09/18/17
MERL LN Equity,FTSE ALL SHARES,12/18/17
WG/ LN Equity,FTSE ALL SHARES,10/12/18
IDS LN Equity,FTSE ALL SHARES,12/24/18
HIK LN Equity,FTSE ALL SHARES,06/24/19
MCRO LN Equity,FTSE ALL SHARES,09/23/19
POLY LN Equity,FTSE ALL SHARES,09/23/19
FRES LN Equity,FTSE ALL SHARES,12/23/19
KGF LN Equity,FTSE ALL SHARES,03/23/20
TUI LN Equity,FTSE ALL SHARES,03/23/20
PNN LN Equity,FTSE ALL SHARES,03/23/20
CNA LN Equity,FTSE ALL SHARES,06/22/20
MGGT LN Equity,FTSE ALL SHARES,06/22/20
PNN LN Equity,FTSE ALL SHARES,03/22/21
MRW LN Equity,FTSE ALL SHARES,03/22/21
WEIR LN Equity,FTSE ALL SHARES,03/22/21
WEIR LN Equity,FTSE ALL SHARES,09/20/21
JMAT LN Equity,FTSE ALL SHARES,12/20/21
POLY LN Equity,FTSE ALL SHARES,03/21/22
IDS LN Equity,FTSE ALL SHARES,06/20/22
HIK LN Equity,FTSE ALL SHARES,09/19/22
WEIR LN Equity,FTSE ALL SHARES,12/19/22
BLND LN Equity,FTSE ALL SHARES,06/19/23
PSN LN Equity,FTSE ALL SHARES,09/18/23
JMAT LN Equity,FTSE ALL SHARES,09/18/23
HL/ LN Equity,FTSE ALL SHARES,12/18/23
