security_ticker,market_ticker,event_date
TATE LN Equity,FTSE ALL SHARES,03/23/09
LSEG LN Equity,FTSE ALL SHARES,03/23/09
III LN Equity,FTSE ALL SHARES,03/23/09
WTB LN Equity,FTSE ALL SHARES,06/22/09
DRX LN Equity,FTSE ALL SHARES,06/22/09
1655637D LN Equity,FTSE ALL SHARES,06/22/09
WTB LN Equity,FTSE ALL SHARES,09/21/09
PNN LN Equity,FTSE ALL SHARES,09/21/09
BBY LN Equity,FTSE ALL SHARES,09/21/09
FCIT LN Equity,FTSE ALL SHARES,09/21/09
LSEG LN Equity,FTSE ALL SHARES,06/21/10
1837977D LN Equity,FTSE ALL SHARES,09/20/10
WEIR LN Equity,FTSE ALL SHARES,09/20/10
COB LN Equity,FTSE ALL SHARES,12/20/10
ATST LN Equity,FTSE ALL SHARES,03/21/11
WG/ LN Equity,FTSE ALL SHARES,03/21/11
ISYS LN Equity,FTSE ALL SHARES,05/25/11
WG/ LN Equity,FTSE ALL SHARES,09/19/11
III LN Equity,FTSE ALL SHARES,09/19/11
LMI LN Equity,FTSE ALL SHARES,12/19/11
CNE LN Equity,FTSE ALL SHARES,03/19/12
ESSR LN Equity,FTSE ALL SHARES,03/19/12
EMG LN Equity,FTSE ALL SHARES,06/18/12
PNN LN Equity,FTSE ALL SHARES,06/29/12
IAP LN Equity,FTSE ALL SHARES,09/24/12
WG/ LN Equity,FTSE ALL SHARES,09/24/12
PNN LN Equity,FTSE ALL SHARES,12/24/12
INTU LN Equity,FTSE ALL SHARES,03/18/13
EVR LN Equity,FTSE ALL SHARES,06/24/13
POLY LN Equity,FTSE ALL SHARES,06/24/13
PSN LN Equity,FTSE ALL SHARES,06/24/13
SRP LN Equity,FTSE ALL SHARES,09/23/13
WG/ LN Equity,FTSE ALL SHARES,09/23/13
VED LN Equity,FTSE ALL SHARES,12/23/13
CRDA LN Equity,FTSE ALL SHARES,12/23/13
TATE LN Equity,FTSE ALL SHARES,03/24/14
WMH LN Equity,FTSE ALL SHARES,06/23/14
MRO LN Equity,FTSE ALL SHARES,06/23/14
PFC LN Equity,FTSE ALL SHARES,12/22/14
